Driver	Constructor	Laps	Time/Retired	Grid
Mika Häkkinen	McLaren - Mercedes	77	1:46:23.536	1
David Coulthard	McLaren - Mercedes	77	+9.706	3
Eddie Irvine	Ferrari	77	+27.228	2
Heinz-Harald Frentzen	Jordan - Mugen-Honda	77	+31.815	5
Rubens Barrichello	Stewart - Ford	77	+43.808	8
Damon Hill	Jordan - Mugen-Honda	77	+55.726	6
Alexander Wurz	Benetton - Playlife	77	+1:01.012	7
Jarno Trulli	Prost - Peugeot	76	+1 Lap	13
Ralf Schumacher	Williams - Supertec	76	+1 Lap	16
Olivier Panis	Prost - Peugeot	76	+1 Lap	14
Johnny Herbert	Stewart - Ford	76	+1 Lap	10
Mika Salo	Ferrari	75	+2 Laps	18
Ricardo Zonta	BAR - Supertec	75	+2 Laps	17
Luca Badoer	Minardi - Ford	75	+2 Laps	19
Pedro de la Rosa	Arrows	75	+2 Laps	20
Jean Alesi	Sauber - Petronas	74	Fuel Pressure	11
Marc Gené	Minardi - Ford	74	+3 Laps	22
Jacques Villeneuve	BAR - Supertec	60	Clutch	9
Giancarlo Fisichella	Benetton - Playlife	52	Engine	4
Toranosuke Takagi	Arrows	26	Transmission	21
Pedro Diniz	Sauber - Petronas	19	Spin	12
Alessandro Zanardi	Williams - Supertec	10	Differential	15
