Eviction No.	Nominee	Vote to Save	Vote to Evict	Net vote	Eviction result
8	Carol	14.36%	32.78%	-18.42%	Evicted
8	Hermes	7.73%	17.70%	-9.97%	Saved
8	Patrick	6.85%	3.06%	3.79%	Saved
8	Sam	13.88%	3.65%	10.23%	Saved
9	Cathy	34.61%	29.65%	4.96%	Saved
9	Kath	10.37%	4.23%	6.13%	Saved
9	Patrick	11.28%	9.87%	1.41%	Evicted
10	Johan	21.22%	7.74%	13.48%	Saved
10	Paul Jake	16.13%	3.57%	12.56%	Saved
10	Rica	15.79%	5.42%	10.37%	Evicted
10	Sam	22.65%	7.48%	15.17%	Saved
11	Jason	38.11%	3.66%	34.46%	Saved
11	Johan	20.48%	10.29%	10.19%	Saved
11	Sam	18.05%	9.41%	8.64%	Evicted
12	Cathy	10.40%	23.94%	-13.54%	Evicted
12	Hermes	2.76%	13.19%	-10.43%	Saved
12	Mariel	1.98%	5.53%	-3.55%	Saved
12	Melisa	33.46%	1.60%	31.86%	Saved
12	Tibo	4.74%	2.43%	2.32%	Saved
13	Hermes	8.56%	15.40%	-6.84%	Evicted
13	Johan	33.32%	7.32%	26.00%	Saved
13	Kath	9.43%	2.74%	6.69%	Saved
13	Tibo	12.56%	10.67%	1.90%	Saved
14	Jason	22.56%	3.97%	18.59%	Saved
14	Johan	10.87%	3.48%	7.39%	Saved
14	Kath	3.43%	3.81%	-0.38%	Evicted
14	Melisa	24.73%	3.92%	20.81%	Saved
14	Paul Jake	20.57%	2.67%	17.90%	Saved
