Name	Latitude	Longitude	Diameter (km)	Year named
Aibarchin Planitia	73.0S	25.0E	1,200.0	1997
Aino Planitia	40.5S	94.5E	4,985.0	1982
Akhtamar Planitia	27.0N	65.0E	2,700.0	1997
Alma-Merghen Planitia	76.0S	100.0E	1,500.0	1997
Atalanta Planitia	45.6N	165.8E	2,050.0	1982
Audra Planitia	59.8N	92.3E	1,860.0	1991
Bereghinya Planitia	28.6N	23.6E	3,900.0	1985
Dzerassa Planitia	15.0S	295.0E	2,800.0	1997
Fonueha Planitia	44.0S	48.0E	3,000.0	1997
Ganiki Planitia	40.0N	202.0E	5,160.0	1985
Guinevere Planitia	21.9N	325.0E	7,520.0	1982
Gunda Planitia	16.0S	267.0E	1,200.0	1997
Helen Planitia	51.7S	263.9E	4,360.0	1982
Hinemoa Planitia	5.0N	265.0E	3,700.0	1997
Imapinua Planitia	60.0S	142.0E	2,100.0	1997
Kanykey Planitia	10.0S	350.0E	2,100.0	1997
Kawelu Planitia	32.8N	246.5E	3,910.0	1985
Laimdota Planitia	58.0S	117.0E	1,800.0	1997
Lavinia Planitia	47.3S	347.5E	2,820.0	1982
Leda Planitia	44.0N	65.1E	2,890.0	1982
Libuše Planitia	60.0N	290.0E	1,200.0	1997
Llorona Planitia	18.0N	145.0E	2,600.0	1997
Louhi Planitia	80.5N	120.5E	2,440.0	1985
Lowana Planitia	43.0N	98.0E	2,700.0	1997
Mugazo Planitia	69.0S	60.0E	1,500.0	1997
Navka Planitia	8.1S	317.6E	2,100.0	1982
Niobe Planitia	21.0N	112.3E	5,008.0	1982
Nsomeka Planitia	53.0S	195.0E	2,100.0	1994
Nuptadi Planitia	73.0S	250.0E	1,200.0	1997
Rusalka Planitia	9.8N	170.1E	3,655.0	1982
Sedna Planitia	42.7N	340.7E	3,570.0	1982
Snegurochka Planitia	86.6N	328.0E	2,775.0	1985
Sogolon Planitia	8.0N	107.0E	1,600.0	1997
Tahmina Planitia	23.0S	80.0E	3,000.0	1997
Tilli-Hanum Planitia	54.0N	120.0E	2,300.0	1997
Tinatin Planitia	15.0S	15.0E	0.0	1994
Undine Planitia	13.0N	303.0E	2,800.0	1997
Vellamo Planitia	45.4N	149.1E	2,155.0	1985
Vinmara Planitia	53.8N	207.6E	1,635.0	1985
Wawalag Planitia	30.0S	217.0E	2,600.0	1997
Zhibek Planitia	40.0S	157.0E	2,000.0	1997
