102.	28 February	Friendly	Croatia	Austria
103.	24 March	World Cup 2002 qualifier	Croatia	Latvia
104.	25 April	Friendly	Croatia	Greece
105.	2 June	World Cup 2002 qualifier	Croatia	San Marino
106.	6 June	World Cup 2002 qualifier	Latvia	Croatia
107.	15 August	Friendly	Ireland	Croatia
108.	1 September	World Cup 2002 qualifier	Scotland	Croatia
109.	5 September	World Cup 2002 qualifier	San Marino	Croatia
110.	6 October	World Cup 2002 qualifier	Croatia	Belgium
111.	10 November	Friendly	South Korea	Croatia
112.	13 November	Friendly	South Korea	Croatia
