Rank	Peak	Country	Island	Elevation (m)	Prominence (m)	Col (m)
1	Puncak Jaya (Carstensz Pyramid)	Indonesia	New Guinea	4884	4884	0
2	Mount Arfak	Indonesia	New Guinea	2940	2761	179
3	Puncak Mandala	Indonesia	New Guinea	4760	2760	2000
4	Mount Kobowre	Indonesia	New Guinea	3750	2217	1533
5	Mount Gauttier	Indonesia	New Guinea	2230	2007	223
6	Mount Wondiwoi	Indonesia	New Guinea	2180	1985	195
7	Bon Irau	Indonesia	New Guinea	2500	1900	600
8	Mount Cycloop	Indonesia	New Guinea	2000	1876	124
9	Undundi-Wandandi	Indonesia	New Guinea	3640	1740	1900
10	Mount Kumawa	Indonesia	New Guinea	1680	1636	44
11	Angemuk	Indonesia	New Guinea	3949	1565	2384
