Game	Date	Team	Score	High points	High assists	Location Attendance	Record
46	February 2	Sacramento	W 129–81 (OT)	Amar'e Stoudemire (25)	Steve Nash (9)	US Airways Center 18,422	26–20
47	February 4	@ Golden State	L 112–124 (OT)	Jason Richardson (24)	Steve Nash (9)	Oracle Arena 19,596	26–21
48	February 6	Golden State	W 115–105 (OT)	Grant Hill (27)	Steve Nash (8)	US Airways Center 18,422	27–21
49	February 8	@ Detroit	W 107–97 (OT)	Jason Richardson (21)	Steve Nash (21)	The Palace of Auburn Hills 22,076	28–21
50	February 9	@ Philadelphia	L 91–108 (OT)	Amar'e Stoudemire (19)	Steve Nash (8)	Wachovia Center 16,797	28–22
51	February 11	@ Cleveland	L 92–109 (OT)	Amar'e Stoudemire (27)	Leandro Barbosa (7)	Quicken Loans Arena 20,562	28–23
52	February 17	L.A. Clippers	W 140–100 (OT)	Leandro Barbosa (24)	Steve Nash (10)	US Airways Center 18,422	29–23
53	February 18	@ L.A. Clippers	W 142–119 (OT)	Amar'e Stoudemire (42)	Steve Nash (12)	Staples Center 18,169	30–23
54	February 20	Oklahoma City	W 140–118 (OT)	Leandro Barbosa (41)	Matt Barnes (9)	US Airways Center 18,422	31–23
55	February 22	Boston	L 108–128 (OT)	Jason Richardson (21)	Steve Nash (11)	US Airways Center 18,422	31–24
56	February 24	Charlotte	W 112–102 (OT)	Steve Nash (22)	Steve Nash (5)	US Airways Center 18,422	32–24
57	February 26	@ L.A. Lakers	L 106–132 (OT)	Leandro Barbosa (18)	Leandro Barbosa (7)	Staples Center 18,997	32–25
58	February 27	Toronto	W 133–113 (OT)	Shaquille O'Neal (45)	Grant Hill (12)	US Airways Center 18,422	33–25
