Name	Status	Population	District	Former local authority
Above Derwent	Civil parish	1,207	Allerdale	Cockermouth Rural District
Aikton	Civil parish	480	Allerdale	Wigton Rural District
Allhallows	Civil parish	548	Allerdale	Wigton Rural District
Allonby	Civil parish	462	Allerdale	Wigton Rural District
Aspatria	Town	2,718	Allerdale	Wigton Rural District
Bassenthwaite	Civil parish	412	Allerdale	Cockermouth Rural District
Bewaldeth and Snittlegarth	Civil parish	40	Allerdale	Cockermouth Rural District
Blennerhasset and Torpenhow	Civil parish	437	Allerdale	Wigton Rural District
Blindbothel	Civil parish	148	Allerdale	Cockermouth Rural District
Blindcrake	Civil parish	287	Allerdale	Cockermouth Rural District
Boltons	Civil parish	585	Allerdale	Wigton Rural District
Borrowdale	Civil parish	438	Allerdale	Cockermouth Rural District
Bothel and Threapland	Civil parish	438	Allerdale	Cockermouth Rural District
Bowness	Civil parish	1,221	Allerdale	Wigton Rural District
Bridekirk	Civil parish	636	Allerdale	Cockermouth Rural District
Brigham	Civil parish	1,065	Allerdale	Cockermouth Rural District
Bromfield	Civil parish	530	Allerdale	Wigton Rural District
Broughton	Community	1,727	Allerdale	Cockermouth Rural District
Broughton Moor	Civil parish	726	Allerdale	Cockermouth Rural District
Buttermere	Civil parish	127	Allerdale	Cockermouth Rural District
Caldbeck	Civil parish	714	Allerdale	Wigton Rural District
Camerton	Civil parish	172	Allerdale	Cockermouth Rural District
Cockermouth	Town	7,877	Allerdale	Cockermouth Urban District
Crosscanonby	Civil parish	1,054	Allerdale	Cockermouth Rural District
Dean	Civil parish	1,077	Allerdale	Cockermouth Rural District
Dearham	Civil parish	2,028	Allerdale	Cockermouth Rural District
Dundraw	Civil parish	167	Allerdale	Wigton Rural District
Embleton	Civil parish	297	Allerdale	Cockermouth Rural District
Gilcrux	Civil parish	303	Allerdale	Cockermouth Rural District
Great Clifton	Civil parish	1,101	Allerdale	Cockermouth Rural District
Greysouthen	Civil parish	508	Allerdale	Cockermouth Rural District
Hayton and Mealo	Civil parish	229	Allerdale	Wigton Rural District
Holme Abbey	Civil parish	776	Allerdale	Wigton Rural District
Holme East Waver	Civil parish	306	Allerdale	Wigton Rural District
Holme Low	Civil parish	373	Allerdale	Wigton Rural District
Holme St Cuthbert	Civil parish	421	Allerdale	Wigton Rural District
Ireby and Uldale	Civil parish	428	Allerdale	Wigton Rural District
Keswick	Town	4,984	Allerdale	Keswick Urban District
Kirkbampton	Civil parish	471	Allerdale	Wigton Rural District
Kirkbride	Civil parish	519	Allerdale	Wigton Rural District
Little Clifton	Civil parish	391	Allerdale	Cockermouth Rural District
Lorton	Civil parish	250	Allerdale	Cockermouth Rural District
Loweswater	Civil parish	209	Allerdale	Cockermouth Rural District
Maryport	Town	11,275	Allerdale	Maryport Urban District
Oughterside and Allerby	Civil parish	626	Allerdale	Cockermouth Rural District
Papcastle	Civil parish	406	Allerdale	Cockermouth Rural District
Plumbland	Civil parish	367	Allerdale	Cockermouth Rural District
Seaton	Civil parish	4,861	Allerdale	Cockermouth Rural District
Sebergham	Civil parish	361	Allerdale	Wigton Rural District
Setmurthy	Civil parish	108	Allerdale	Cockermouth Rural District
Silloth on Solway	Town	2,932	Allerdale	Wigton Rural District
Skinburness Marsh	Common lands	0	Allerdale	Wigton Rural District
St John's Castlerigg and Wythburn	Civil parish	407	Allerdale	Cockermouth Rural District
Thursby	Civil parish	1,185	Allerdale	Wigton Rural District
Underskiddaw	Civil parish	282	Allerdale	Cockermouth Rural District
Waverton	Civil parish	326	Allerdale	Wigton Rural District
Westnewton	Civil parish	247	Allerdale	Wigton Rural District
Westward	Civil parish	814	Allerdale	Wigton Rural District
Wigton	Town	5,360	Allerdale	Wigton Rural District
Winscales	Civil parish	186	Allerdale	Cockermouth Rural District
Woodside	Civil parish	516	Allerdale	Wigton Rural District
Workington	Town	24,295	Allerdale	Workington Municipal Borough
