Place	Player	Country	Score	To par	Money ( $ )
1	Bobby Jones (a)	United States	71-73-68-75=287	–1	0
2	Macdonald Smith	Scotland United States	70-75-74-70=289	+1	1,000
3	Horton Smith	United States	72-70-76-74=292	+4	750
4	Harry Cooper	England United States	72-72-73-76=293	+5	650
5	Johnny Golden	United States	74-73-71-76=294	+6	550
6	Tommy Armour	Scotland United States	70-76-75-76=297	+9	450
7	Charles Lacey	United States	74-70-77-77=298	+10	350
8	Johnny Farrell	United States	74-72-73-80=299	+11	250
T9	Bill Mehlhorn	United States	76-74-75-75=300	+12	138
T9	Craig Wood	United States	73-75-72-80=300	+12	138
