Driver	Team	Laps	Time/Retired	Grid	Points
Sébastien Bourdais	Newman/Haas Racing	97	1:49:45.135	2	33
Mario Domínguez	Forsythe Racing	97	+15.269 secs	3	27
A. J. Allmendinger	RuSPORT	97	+17.207 secs	4	25
Oriol Servià	Newman/Haas Racing	97	+35.775 secs	8	23
Rodolfo Lavín	HVM Racing	97	+37.629 secs	13	21
Ryan Hunter-Reay	Rocketsports Racing	97	+43.237 secs	17	20
Ronnie Bremer	Dale Coyne Racing	97	+47.487 secs	16	17
Ricardo Sperafico	Dale Coyne Racing	97	+52.470 secs	12	15
Nelson Philippe	Mi-Jack Conquest Racing	97	+1:02.902	15	13
Andrew Ranger	Mi-Jack Conquest Racing	96	+ 1 Lap	11	11
Björn Wirdheim	HVM Racing	96	+ 1 Lap	14	10
Marcus Marshall	Team Australia	94	+ 3 Laps	18	9
Timo Glock	Rocketsports Racing	88	Gearbox	10	8
Alex Tagliani	Team Australia	82	+ 15 Laps	7	7
Jimmy Vasser	PKV Racing	65	In pits	6	6
Paul Tracy	Forsythe Racing	62	Contact	1	8
Justin Wilson	RuSPORT	0	Contact	5	4
Cristiano da Matta	PKV Racing	0	Contact	9	3
