Round	Overall	Player	Position	School/Club Team
2	41	Ron Brown	Wide Receiver	Arizona State
3	68	Reggie Camp	Defensive End	California
5	122	Bill Contz	Offensive Tackle	Penn State
6	145	Tim Stracka	Tight End	Wisconsin
6	149	Dave Puzzuoli	Nose Tackle	Pittsburgh
7	176	Rocky Belk	Wide Receiver	Miami
8	209	Mike McClearn	Guard	Temple
10	262	Thomas Hopkins	Offensive Tackle	Alabama A&M
11	288	Boyce Green	Running Back	Carson Newman College
11	305	Howard McAdoo	Linebacker	Michigan State
12	316	Paul Farren	Offensive Tackle	Boston University
