City of license	Identifier	Frequency	Power	Class	RECNet
Armstrong	CBOL	1450 AM (moving to 91.3 FM)	40 s watt	LP	Query
Atikokan	CBQI-FM	90.1	2,900 watts	A	Query
Beardmore	CBLE	1240 AM	40 watts	LP	Query
Big Trout Lake	CFTL-FM	100.3	63 watts	A1	Query
Dryden	CBQH-FM	100.9	100,000 watts	C	Query
Ear Falls	CBOI	690 AM	40 watts	LP	Query
Fort Frances	CBQQ-FM	90.5	50,000 watts	B	Query
Fort Hope	CBCF-FM	101.5	41 watts	A1	Query
Geraldton	CBLG-FM	89.1	11,900 watts	B	Query
Hornepayne	CBLH	1010 AM (moving to 92.3 FM)	40 watts	LP	Query
Ignace	CBES	690 AM	40 watts	LP	Query
Kenora	CBQX-FM	98.7	38,000 watts	B	Query
Manitouwadge	CBEB-FM	89.7	46,400 watts	B	Query
Marathon	CBLM	1090 AM	40 watts	LP	Query
Mishkeegogamang	CBQN-FM	104.5	81 watts	A1	Query
Nakina	CBLN	1240 AM	40 watts	LP	Query
Nipigon	CBQY-FM	98.9	2,000 watts	B	Query
Pickle Lake	CBQP-FM	105.1	83 watts	A1	Query
Pikangikum	CBQU-FM	100.3	34 watts	A1	Query
Red Lake	CBEA-FM	90.5	82 watts	A1	Query
Sandy Lake	CBQV-FM	101.1	37 watts	A1	Query
Savant Lake	CBQL-FM	104.9	78 watts	A1	Query
Schreiber	CBLB	1340 AM	40 watts	LP	Query
Sioux Lookout	CBLS-FM	95.3 FM	500 watts	A	Query
Sioux Narrows	CBQS-FM	95.7 FM	1,300 watts	A	Query
Terrace Bay	CBEH	1010 AM	40 watts	LP	Query
White River	CBLW	1010 AM	40 watts	LP	Query
