Game	March	Opponent	Score	Record	Points
66	5	Winnipeg Jets	10–1	37–19–10	84
67	7	Edmonton Oilers	3–5	37–20–10	84
68	8	@ Buffalo Sabres	4–8	37–21–10	84
69	12	Detroit Red Wings	9–4	38–21–10	86
70	14	@ New York Islanders	3–3	38–21–11	87
71	15	Toronto Maple Leafs	4–4	38–21–12	88
72	18	@ Chicago Black Hawks	1–5	38–22–12	88
73	19	Boston Bruins	5–3	39–22–12	90
74	21	Chicago Black Hawks	4–4	39–22–13	91
75	22	Calgary Flames	6–2	40–22–13	93
76	24	Washington Capitals	2–5	40–23–13	93
77	29	@ Hartford Whalers	4–1	41–23–13	95
78	30	@ New York Rangers	0–0	41–23–14	96
