Position	Number	Name	Height	Weight	Class	Hometown	Games↑
LE	99	Jeremy Jarmon	6'3"	277lb.	Jr.	Collierville, Tennessee	3
LT	98	Myron Pryor	6'1"	310lb.	Sr.	Louisville, Kentucky	3
RT	91	Corey Peters	6'3"	290lb.	Jr.	Louisville, Kentucky	3
RE	95	Ventrell Jenkins	6'2"	285lb.	Sr.	Columbia, South Carolina	3
OLB	56	Braxton Kelley	6'0"	230lb.	Sr.	LaGrange, Georgia	3
MLB	4	Micah Johnson	6'2"	250lb.	Jr.	Fort Campbell, Kentucky	3
SLB	51	Johnny Williams	6'3"	244lb.	Sr.	Jacksonville, Florida	3
RCB	32	Trevard Lindley	6'0"	175lb.	Jr.	Hiram, Georgia	3
LCB	7	David Jones	5'10"	180lb.	Sr.	Red Jacket, West Virginia	3
FS	27	Ashton Cobb	6'0"	208lb.	Jr.	Aliquippa, Pennsylvania	2
SS	2	Marcus McClinton	6'1"	210lb.	Sr.	Fort Campbell, Kentucky	2
