Name	Team	Qual 1	Qual 2	Best
Sébastien Bourdais	Newman/Haas Racing	1:27.822	1:25.919	1:25.919
Bruno Junqueira	Newman/Haas Racing	1:27.565	1:26.545	1:26.545
Justin Wilson	Mi-Jack Conquest Racing	1:27.870	1:27.016	1:27.016
Jimmy Vasser	PKV Racing	1:29.303	1:27.038	1:27.038
Oriol Servià	Dale Coyne Racing	1:28.460	1:27.114	1:27.114
Paul Tracy	Forsythe Racing	1:27.971	1:27.172	1:27.172
A. J. Allmendinger	RuSPORT	1:27.858	1:27.205	1:27.205
Patrick Carpentier	Forsythe Racing	1:28.583	1:27.338	1:27.338
Ryan Hunter-Reay	Herdez Competition	1:28.372	1:27.432	1:27.432
Michel Jourdain, Jr.	RuSPORT	1:28.401	1:27.537	1:27.537
Roberto González	PKV Racing	1:28.106	1:27.610	1:27.610
Michael Valiante	Walker Racing	1:30.473	1:27.642	1:27.642
Alex Tagliani	Rocketsports Racing	1:28.278	1:27.841	1:27.841
Rodolfo Lavín	Forsythe Racing	1:29.353	1:27.886	1:27.886
Mario Domínguez	Herdez Competition	1:28.737	1:27.892	1:27.892
Tarso Marques	Dale Coyne Racing	1:29.024	1:27.976	1:27.976
Mario Haberfeld	Walker Racing	1:30.708	1:28.200	1:28.200
Guy Smith	Rocketsports Racing	1:31.423	1:28.804	1:28.804
Nelson Philippe	Mi-Jack Conquest Racing	1:29.059	1:31.531	1:29.059
