Year	Winner	Language	Artist	Song	Points	Margin	Second place	Date	Venue	Location	Participants
2003	Croatia	Croatian	Dino Jelusić	"Ti si moja prva ljubav"	134	9	Spain	15 November 2003	Forum Copenhagen	Copenhagen	16
2004	Spain	Spanish	María Isabel	" Antes Muerta que Sencilla "	171	31	United Kingdom	20 November 2004	Håkons Hall	Lillehammer	18
2005	Belarus	Russian	Ksenia Sitnik	"My vmeste" (Мы вместе)	149	3	Spain	26 November 2005	Ethias Arena	Hasselt	16
2006	Russia	Russian	Tolmachevy Sisters	"Vesenniy Jazz" (Весенний джаз)	154	25	Belarus	2 December 2006	Sala Polivalentă	Bucharest	15
2007	Belarus	Russian	Alexey Zhigalkovich	"S druz'yami" (С друзьями)	137	1	Armenia	8 December 2007	Ahoy Rotterdam	Rotterdam	17
2008	Georgia	Imaginary	Bzikebi	"Bzz.."	154	19	Ukraine	22 November 2008	Spyros Kyprianou Athletic Center	Limassol	15
2009	Netherlands	Dutch , English	Ralf Mackenbach	"Click Clack"	121	5	Armenia Russia	21 November 2009	Palace of Sports	Kiev	13
2010	Armenia	n Armenia	Vladimir Arzumanyan	"Mama" (Մամա)	120	1	Russia	20 November 2010	Minsk-Arena	Minsk	14
2011	Georgia	Georgian	CANDY	"Candy Music"	108	5	Netherlands	3 December 2011	Karen Demirchyan Complex	Yerevan	13
2012	Ukraine	Ukrainian , English	Anastasiya Petryk	"Nebo" (Небо)	138	35	Georgia	1 December 2012	Heineken Music Hall	Amsterdam	12
