Year	Date	Driver	Team	Manufacturer	Laps	Miles (km)	Race Time	Average Speed (mph)
2000	February 18	Mike Wallace	Ultra Motorsports	Ford	100	250 (402.336)	1:55:00	130.152
2001	February 16	Joe Ruttman	Bobby Hamilton Racing	Dodge	104*	260 (418.429)	2:00:33	129.407
2002	February 15	Robert Pressley	Bobby Hamilton Racing	Dodge	100	250 (402.336)	1:47:03	140.121
2003	February 14	Rick Crawford	Circle Bar Racing	Ford	106*	265 (426.476)	2:04:34	127.642
2004	February 13	Carl Edwards	Roush Racing	Ford	100	250 (402.336)	2:13:15	112.570
2005	February 18	Bobby Hamilton	Bobby Hamilton Racing	Dodge	100	250 (402.336)	2:00:04	124.931
2006	February 17	Mark Martin	Roush Racing	Ford	102*	255 (410.382)	1:44:21	146.622
2007	February 16	Jack Sprague	Wyler Racing	Toyota	100	250 (402.336)	2:07:24	117.739
2008	February 15	Todd Bodine	Germain Racing	Toyota	100	250 (402.336)	1:57:36	127.551
2009	February 13	Todd Bodine	Germain Racing	Toyota	100	250 (402.336)	2:02:11	122.766
2010	February 13*	Timothy Peters	Red Horse Racing	Toyota	100	250 (402.336)	2:10:06	115.295
2011	February 18	Michael Waltrip	Billy Ballew Motorsports	Toyota	103*	257.5 (414.406)	1:58:33	130.025
2012	February 24	John King	Red Horse Racing	Toyota	109*	272.5 (438.546)	2:17:13	119.169
