Date	Name	Flag	Tonnage (GRT)	Sunk by
16 March 1943	Elin K	Norway	5,214	U-603
16/17 March 1943	Zaanland	Netherlands	6,513	U-758
16/17 March 1943	Southern Princess	United Kingdom	12,156	U-600
16/17 March 1943	Harry Luckenbach	United States	6,366	U-91
16/17 March 1943	Coracero	United Kingdom	7,252	U-384
16/17 March 1943	Terkoeli	Netherlands	5,158	U-631 , U-384 ?
17 March 1943	James Oglethorpe	United States	7,176	U-758 , U-91
17 March 1943	William Eustis	United States	7,196	U-435 , U-91
17 March 1943	Nariva	United Kingdom	8,714	U-600 , U-91
17 March 1943	Irenee du Pont	United States	6,125	U-600 , U-91
18 March 1943	William Q Gresham	United States	7,191	U-221
18 March 1943	Canadian Star	United Kingdom	8,293	U-221
19 March 1943	Matthew Luckenbach	United States	5,848	U-523 , U-527
