Team	Home city	Stadium	Capacity	2011-12 season
Ascoli	Ascoli Piceno	Cino e Lillo Del Duca	20550	15th in Serie B
Bari	Bari	San Nicola	58270	13th in Serie B
Brescia	Brescia	Mario Rigamonti	23486	8th in Serie B
Cesena	Cesena	Dino Manuzzi	23860	20th in Serie A
Cittadella	Cittadella	Pier Cesare Tombolato	7623	16th in Serie B
Crotone	Crotone	Ezio Scida	9631	11th in Serie B
Empoli	Empoli	Carlo Castellani	19795	18th in Serie B
Grosseto	Grosseto	Carlo Zecchini	9909	14th in Serie B
JuveStabia	Castellammare di Stabia	Romeo Menti	7642	9th in Serie B
Livorno	Livorno	Armando Picchi	19238	17th in Serie B
Modena	Modena	Alberto Braglia	21151	12th in Serie B
Novara	Novara	Silvio Piola	17875	19th in Serie A
Padova	Padua	Euganeo	18060	7th in Serie B
ProVercelli	Vercelli	Silvio Piola	8000	Prima Divisione/A play-off winners
Reggina	Reggio Calabria	Oreste Granillo	27454	10th in Serie B
Sassuolo	Sassuolo (playing in Modena )	Alberto Braglia	21151	3rd in Serie B
Spezia	La Spezia	Alberto Picco	10000	Prima Divisione/B Champions
Ternana	Terni	Libero Liberati	22000	Prima Divisione/A Champions
Varese	Varese	Franco Ossola	8213	5th in Serie B
Verona	Verona	Marc'Antonio Bentegodi	39371	4th in Serie B
Vicenza	Vicenza	Romeo Menti	12200	19th in Serie B
VirtusLanciano	Lanciano	Guido Biondi	5553	Prima Divisione/B play-off winners
