Station	Extension	City/Neighborhood	Projected opening	Park and ride?	Funded by ST2 ?
Boeing Access Road	Central Link	Tukwila	Deferred Indefinitely	No	No
Jackson Park	North Corridor HCT	Shoreline	2023	Yes	Yes
Shoreline	North Corridor HCT	Shoreline	2023	Yes	Yes
Mountlake Terrace	North Corridor HCT	Mountlake Terrace	2023	Yes	Yes
Lynnwood	North Corridor HCT	Lynnwood	2023	Yes	Yes
Alderwood	Future North Corridor	Alderwood Mall , Lynnwood	2023	No	No
164th/Ash Way	Future North Corridor	Lynnwood	2023	Yes	No
Everett Station	Future North Corridor	Everett	Unknown	Yes	No
Highline Community College	South Link	Des Moines	2020	Yes	Yes
Redondo/Star Lake	South Link	Federal Way	2023	Yes	Yes
Federal Way Transit Center	South Link	Federal Way	Unknown	Yes	No
South Federal Way	South Link	Federal Way	Unknown	Yes	No
Port of Tacoma/Fife	South Link	Fife	Unknown	Yes	No
Rainier	East Link	Central District, Seattle	2020	No	Yes
Mercer Island	East Link	Mercer Island	2020	Yes	Yes
South Bellevue	East Link	Bellevue	2020	Yes	Yes
East Main	East Link	Bellevue	2020	No	Yes
Bellevue Transit Center	East Link	Downtown Bellevue	2020	No	Yes
Hospital	East Link	Bellevue	2021	No	Yes
120th	East Link	Bellevue	2021	No	Yes
130th	East Link	Bellevue	2021	Yes	Yes
Overlake Village	East Link	Overlake	2021	Yes	Yes
Overlake Transit Center	East Link	Overlake	2021	Yes	Yes
SE Redmond	East Link	Redmond	Unknown	No	No
