Game	Date	Opponent	Venue	Result	Attendance
1	16 August 2008	Liverpool	Home	0–1	43,259
2	23 August 2008	Tottenham Hotspur	Away	2–1	36,064
3	31 August 2008	Manchester City	Home	0–3	39,622
4	13 September 2008	Wigan Athletic	Away	1–1	18,015
5	20 September 2008	Middlesbrough	Home	2–0	38,388
6	27 September 2008	Aston Villa	Away	1–2	38,706
7	4 October 2008	Arsenal	Home	1–1	40,199
8	18 October 2008	Fulham	Away	0–0	25,116
9	25 October 2008	Newcastle United	Home	2–1	47,936
10	29 October 2008	Stoke City	Away	0–1	26,731
11	1 November 2008	Chelsea	Away	0–5	41,693
12	8 November 2008	Portsmouth	Home	1–2	37,712
13	15 November 2008	Blackburn Rovers	Away	2–1	21,798
14	23 November 2008	West Ham United	Home	0–1	35,222
15	29 November 2008	Bolton Wanderers	Home	1–4	35,457
16	6 December 2008	Manchester United	Away	0–1	75,400
17	13 December 2008	West Bromwich Albion	Home	4–0	36,280
18	20 December 2008	Hull City	Away	4–1	24,917
19	26 December 2008	Blackburn Rovers	Home	0–0	44,680
20	28 December 2008	Everton	Away	0–3	39,146
21	10 January 2009	Middlesbrough	Away	1–1	29,310
22	17 January 2009	Aston Villa	Home	1–2	40,350
23	27 January 2009	Fulham	Home	1–0	36,539
24	1 February 2009	Newcastle	Away	1–1	52,084
25	7 February 2009	Stoke City	Home	2–0	38,350
26	21 February 2009	Arsenal	Away	0–0	60,104
27	3 March 2009	Liverpool	Away	0–2	41,587
28	8 March 2009	Tottenham Hotspur	Home	1–1	37,894
29	14 March 2009	Wigan Athletic	Home	1–2	39,266
30	22 March 2009	Manchester City	Away	0–1	43,017
31	4 April 2009	West Ham United	Away	0–2	34,761
32	11 April 2009	Manchester United	Home	1–2	45,408
33	18 April 2009	Hull City	Home	1–0	42,855
34	25 April 2009	West Bromwich Albion	Away	0–3	26,256
35	3 May 2009	Everton	Home	0–2	41,313
36	9 May 2009	Bolton Wanderers	Away	0–0	24,005
37	18 May 2009	Portsmouth	Away	1–3	20,398
38	24 May 2009	Chelsea	Home	2–3	42,468
