Name	Nationality	Position	Sky Blue FC career	Appearances	Starts	Minutes	Goals	Assists
Cori Alexander Category:Articles with hCards	United States	GK	2009	0	0	0	0	0
Anita Asante Category:Articles with hCards	England	DF	2009–	16	16	1440	0	0
Yael Averbuch Category:Articles with hCards	United States	MF	2009–	21	17	1472	0	2
Karen Bardsley Category:Articles with hCards	England	GK	2009–	4	4	315	0	0
Jenni Branam Category:Articles with hCards	United States	GK	2009–	21	19	1755	0	0
Jen Buczkowski Category:Articles with hCards	United States	MF	2009	19	11	1130	0	0
Keeley Dowling Category:Articles with hCards	United States	DF	2009–	22	21	1953	1	3
Francielle Category:Articles with hCards	Brazil	MF	2009–	4	1	166	1	0
Mele French Category:Articles with hCards	United States	FW	2009	1	0	11	0	0
Jenny Hammond Category:Articles with hCards	United States	DF	2009	0	0	0	0	0
Kerri Hanks Category:Articles with hCards	United States	FW	2009–	9	3	294	1	0
Katie Hooker Category:Articles with hCards	United States	FW	2009	2	2	179	0	0
Natasha Kai Category:Articles with hCards	United States	FW	2009–	21	17	1550	7	2
Noelle Keselica Category:Articles with hCards	United States	FW	2009	6	0	108	0	0
Collette McCallum Category:Articles with hCards	Australia	MF	2009	23	17	1553	0	3
Heather O'Reilly Category:Articles with hCards	United States	FW	2009–	20	20	1766	3	3
Kelly Parker Category:Articles with hCards	Canada	MF	2009	19	12	1121	0	1
Christie Rampone Category:Articles with hCards	United States	DF	2009–	17	17	1449	0	0
Rosana Category:Articles with hCards	Brazil	MF	2009–	20	18	1368	5	1
Meghan Schnur Category:Articles with hCards	United States	MF	2009–	23	23	2021	0	2
Lauren Sesselmann Category:Articles with hCards	United States	FW	2009	1	0	1	0	0
Christie Shaner Category:Articles with hCards	United States	DF	2009	2	0	43	0	0
Julianne Sitch Category:Articles with hCards	United States	DF	2009	16	11	996	1	0
Sarah Walsh Category:Articles with hCards	Australia	FW	2009	5	4	351	1	1
