Date	Score	Set 1	Set 2	Set 3	Set 4	Set 5	Total
May 11	3-0	25-20	25-13	25-19	NA	NA	75 - 52
May 11	3-0	25-21	25-22	25-21	NA	NA	75 - 64
May 12	3-0	25-17	25-18	25-21	NA	NA	75 - 56
May 12	2-3	25-23	26-28	22-25	27-25	15-17	115 - 118
May 18	1-3	19-25	25-15	24-26	24-26	NA	92 - 92
Jun 18	3-1	25-18	27-25	22-25	25-20	NA	99 - 88
Jun 19	3-0	25-20	25-19	25-22	NA	NA	75 - 61
Jun 19	3-0	25-23	26-24	25-21	NA	NA	76 - 68
Jun 25	1-3	33-31	23-25	21-25	23-25	NA	100 - 106
Jun 25	1-3	19-25	17-25	25-20	19-25	NA	80 - 95
Jun 26	0-3	23-25	22-25	19-25	NA	NA	64 - 75
Jun 27	2-3	18-25	26-24	26-24	21-25	08-15	99 - 113
Jun 1	1-3	22-25	23-25	25-21	23-25	NA	93 - 96
Jun 1	2-3	20-25	20-25	25-22	25-23	12-15	102 - 110
Jun 2	3-1	25-18	25-21	22-25	25-13	NA	97 - 77
Jun 3	2-3	23-25	20-25	25-23	32-30	14-16	114 - 119
Jun 8	0-3	14-25	21-25	13-25	NA	NA	48 - 75
Jun 8	0-3	18-25	19-25	19-25	NA	NA	56 - 75
Jun 9	1-3	21-25	25-21	22-25	24-26	NA	92 - 97
Jun 10	0-3	11-25	18-25	13-25	NA	NA	42 - 75
Jun 15	3-0	25-19	25-14	25-19	NA	NA	75 - 52
Jun 15	2-3	31-29	25-19	23-25	32-34	12-15	123 - 122
Jun 16	2-3	25-11	20-25	25-22	23-25	14-16	107 - 99
Jun 16	2-3	23-25	23-25	25-20	25-20	18-20	114 - 110
