Team	1983	1984	1985-1986	Total points	Seasons	Points average
Deportivo Español	N/A	N/A	46	46	1	46.00
Ferro Carril Oeste	46	50	40	136	3	45.33
Argentinos Juniors	36	51	44	131	3	43.66
River Plate	29	43	56	128	3	42.33
San Lorenzo	47	37	40	124	3	41.33
Vélez Sársfield	44	42	34	120	3	40.00
Newell's Old Boys	35	38	46	119	3	39.67
Independiente	48	31	36	115	3	38.33
Estudiantes de La Plata	38	48	27	113	3	37.67
Boca Juniors	37	30	41	108	3	36.00
Gimnasia de La Plata	N/A	N/A	36	36	1	36.00
Talleres de Córdoba	33	34	37	104	3	34.67
Instituto de Córdoba	35	33	35	103	3	34.33
Unión de Santa Fe	38	30	31	99	3	33.00
Racing de Córdoba	27	43	26	96	3	32.00
Platense	34	33	27	94	3	31.33
Temperley	33	31	29	93	3	31.00
Huracán	32	27	32	91	3	30.33
Chacarita Juniors	N/A	34	21	55	2	27.50
