Name	Pos.	Height	Weight	Date of birth	Club
Jesús Rollán	GK	m (ft 2in)	kg (lb)	1968-04-04	CN Sabadell
Ángel Andreo	GK	m (ft 3in)	kg (lb)	1972-12-03	CN Atlètic-Barceloneta
Sergi Pedrerol	D	m (ft 3in)	kg (lb)	1969-12-16	CN Sabadell
Gustavo Marcos	CB	m (ft 11in)	kg (lb)	1972-12-23	CN Sabadell
Guillermo Molina	CB	m (ft 0in)	kg (lb)	1984-03-16	CN Barcelona
Xavier García	CB	m (ft 2in)	kg (lb)	1984-01-05	CN Atlètic-Barceloneta
Gabriel Hernández Paz	D	m (ft 1in)	kg (lb)	1975-01-02	CN Atlètic-Barceloneta
Iván Moro	CB	m (ft 1in)	kg (lb)	1974-12-25	CN Atlètic-Barceloneta
Daniel Ballart	CB	m (ft 10in)	kg (lb)	1973-03-17	CN Sabadell
Salvador Gómez	CB	m (ft 4in)	kg (lb)	1968-03-11	WP Valencia
Iván Pérez	CF	m (ft 3in)	kg (lb)	1971-06-29	CN Barcelona
Javier Sanchez Toril	CF	m (ft 4in)	kg (lb)	1975-06-16	CN Atlètic-Barceloneta
Daniel Moro	D	m (ft 2in)	kg (lb)	1973-08-08	CN Atlètic-Barceloneta
Head Coach: Joan Jane	Head Coach: Joan Jane	Head Coach: Joan Jane	Head Coach: Joan Jane	Head Coach: Joan Jane	Head Coach: Joan Jane
