Year	US 200	UK Albums	RIAA certification	BPI certification
1971	—	—	—	—
1978	1	6	Platinum	Gold
1979	29	9	Gold	Gold
1980	61	15	—	Silver
1982	—	39	—	—
1988	—	43	—	—
1992	—	73	—	—
1994	—	—	—	—
2000	—	—	—	—
Compilations	Compilations	Compilations	Compilations	Compilations
1974	—	—	—	—
1984	—	—	—	—
1989	—	—	—	—
1995	—	17	—	—
2006	—	—	—	—
2009	—	—	—	—
2011	—	—	—	—
As guest or supporting musician	As guest or supporting musician	As guest or supporting musician	As guest or supporting musician	As guest or supporting musician
1979	—	—	—	—
