Serial No.	District	Headquartered City	City Population (2009)	City Area(km 2 )
01	Attock District	Attock City	94,620	20
02	Bahawalnagar District	Bahawalnagar City	134,936	13
03	Bahawalpur District	Bahawalpur City	530,438	38
04	Bhakkar District	Bhakkar City	89,380	15
05	Chakwal District	Chakwal City	113,524	10
06	Chiniot District	Chiniot City	219,254	12
07	Dera Ghazi Khan District	Dera Ghazi Khan City	464,742	22
08	Faisalabad District	Faisalabad City	2,793,721	147
09	Gujranwala District	Gujranwala City	1,526,168	75
10	Gujrat District	Gujrat City	328,512	25
11	Hafizabad District	Hafizabad City	165,936	10
12	Jhang District	Jhang City	365,198	28
13	Jhelum District	Jhelum City	172,073	22
14	Kasur District	Kasur City	314,617	18
15	Khanewal District	Khanewal City	165,038	17
16	Khushab District	Jauharabad City	38,475	12
17	Lahore District	Lahore City	6,936,563	462
18	Layyah District	Layyah City	82,734	10
19	Lodhran District	Lodhran City	93,232	08
20	Mandi Bahauddin District	Mandi Bahauddin City	150,980	09
21	Mianwali District	Mianwali City	93,659	20
22	Multan District	Multan City	1,566,932	133
23	Muzaffargarh District	Muzaffargarh City	158,597	15
24	Nankana Sahib District	Nankana Sahib City	60,137	06
25	Narowal District	Narowal City	74,417	07
26	Okara District	Okara City	232,386	21
27	Pakpattan District	Pakpattan City	136,510	14
28	Rahim Yar Khan District	Rahim Yar Khan City	340,810	22
29	Rajanpur District	Rajanpur City	42,986	06
30	Rawalpindi District	Rawalpindi City	1,933,933	110
31	Sahiwal District	Sahiwal City	247,706	28
32	Sargodha District	Sargodha City	586,922	50
33	Sheikhupura District	Sheikhupura City	411,834	22
34	Sialkot District	Sialkot City	502,721	42
35	Toba Tek Singh District	Toba Tek Singh City	74,480	09
36	Vehari District	Vehari City	124,513	12
