Club	Position in 2012	First season	Number of seasons	First season of current spell	Titles	Last title
AIK	4th	1924–25	84	2006	5	2009
BK Häcken	2nd	1983	12	2009	0	N/A
Djurgårdens IF	9th	1927–28	57	2001	7	2005
Gefle IF	11th	1933–34	12	2005	0	N/A
Halmstads BK	3rd in Superettan	1933–34	50	2013	4	2000
Helsingborgs IF	6th	1924–25	62	1993	7	2011
IF Brommapojkarna	2nd in Superettan	2007	3	2013	0	N/A
IF Elfsborg	1st	1926–27	69	1997	6	2012
IFK Göteborg	7th	1924–25	80	1977	13	2007
IFK Norrköping	5th	1924–25	72	2011	12	1992
Kalmar FF	10th	1949–50	25	2004	1	2008
Malmö FF	3rd	1931–32	77	2001	19	2010
Mjällby AIF	12th	1980	6	2010	0	N/A
Syrianska FC	13th	2011	2	2011	0	N/A
Åtvidabergs FF	8th	1968	17	2012	2	1973
Östers IF	1st in Superettan	1968	32	2013	4	1981
