No. by series	No. by season	Title	Directed by	Written by	Original air date	Production number	U.S. viewers (in millions)
59	1	"Rise"	Rob Bowman	Andrew W. Marlowe	September19,2011	401	13.28
60	2	"Heroes & Villains"	Jeff Bleckner	David Amann	September26,2011	402	11.67
61	3	"Head Case"	Holly Dale	David Grae	October3,2011	403	11.18
62	4	"Kick the Ballistics"	Rob Bowman	Moira Kirland	October10,2011	404	10.23
63	5	"Eye of the Beholder"	John Terlesky	Shalisha Francis	October17,2011	405	11.23
64	6	"Demons"	Bill Roe	Rob Hanning	October24,2011	406	10.81
65	7	"Cops & Robbers"	Bryan Spicer	Terence Paul Winter	October31,2011	407	12.58
66	8	"Heartbreak Hotel"	Bill Roe	Elizabeth Davis	November7,2011	408	11.07
67	9	"Kill Shot"	David M. Barrett	Alexi Hawley	November21,2011	409	10.85
68	10	"Cuffed"	John Terlesky	Terri Miller & Andrew W. Marlowe	December5,2011	410	8.12
69	11	"Till Death Do Us Part"	Jeff Bleckner	David Grae	January9,2012	411	9.76
70	12	"Dial M for Mayor"	Kate Woods	Christine Boylan	January16,2012	412	9.41
71	13	"An Embarrassment of Bitches"	Tom Wright	Rob Hanning	January23,2012	413	10.05
72	14	"The Blue Butterfly"	Chuck Bowman	Terence Paul Winter	February6,2012	414	8.70
73	15	"Pandora"	Bryan Spicer	David Amann	February13,2012	415	8.86
74	16	"Linchpin"	Rob Bowman	Andrew W. Marlowe	February20,2012	416	9.73
75	17	"Once Upon a Crime"	Jeff Bleckner	Kate Sargeant	February27,2012	417	9.10
76	18	"A Dance with Death"	Kevin Hooks	Moira Kirland	March19,2012	418	11.52
77	19	"47 Seconds"	Paul Holahan	Shalisha Francis	March26,2012	419	11.87
78	20	"The Limey"	Bill Roe	Elizabeth Davis	April2,2012	420	11.69
79	21	"Headhunters"	John Terlesky	Alexi Hawley	April16,2012	421	11.23
80	22	"Undead Again"	Bill Roe	Christine Boylan	April30,2012	422	11.08
