Year Ended	Passengers Flown	Passenger Load Factor (%)	Revenue (€m)	Profit / (Loss) Before Tax (€m)	Net Profit / (Loss) (€m)
31 December 2012	10,800,000	77.7	1,393.3	40.6	69.1
31 December 2011	9,513,000	75.6	1,288.3	37.2	49.1
31 December 2010	9,346,000	76.1	1,215.6	(31.0)	52.5
31 December 2009	10,382,000	74.5	1,205.7	(154.8)	(130.1)
31 December 2008	10,001,000	72.8	1,357.4	(95.9)	(107.8)
31 December 2007	9,305,000	75.4	1,284.9	124.8	105.3
31 December 2006	8,631,000	77.6	1,115.8	(79.4)	(69.9)
31 December 2005	8,044,000	81.4	1,002.7	100.0	88.9
31 December 2004	6,959,000	82	906.8	1.1	1.2
31 December 2003	6,595,000	81	888.3	79.4	69.2
31 December 2002	6,211,000	78	958.6	15.1	16.8
31 December 2001	6,600,000	72	1,097.2	(167.4)	(149.7)
