Issue	Date	Title	Story	Color
#1	December 15, 2010	Untitled	Roy Thomas	Dave Stewart
#2	January 26, 2011	Shadizar the Wicked	Roy Thomas	Dave Stewart
#3	March 2, 2011	Untitled	Roy Thomas	Dave Stewart
#4	April 27, 2011	Untitled	Roy Thomas	Dan Jackson
#5	May 25, 2011	Untitled	Roy Thomas	Dan Jackson
#6	June 22, 2011	Untitled	Roy Thomas	Dan Jackson
#7	August 17, 2011	Of Princes and Plotters	Roy Thomas	Dan Jackson
#8	September 21, 2011	The Horrors Beneath the Stones	Roy Thomas	Dan Jackson
#9	October 19, 2011	When Death Takes Wing...	Roy Thomas	Dan Jackson
#10	November 16, 2011	Is Tarantia Burning?	Roy Thomas	Dan Jackson
#11	December 21, 2011	A Cimmerian in Argos	Roy Thomas	Dan Jackson
#12	January 18, 2012	Conan's Day in Court	Roy Thomas	Dan Jackson
