Date	Visitor	Score	Home	Decision	Attendance	Record
March 1	Toronto	3 - 2	Washington	Kolzig	18,277	30-28-8
March 3	Boston	2 - 10	Washington	Huet	17,189	31-28-8
March 5	Washington	3 - 1	Buffalo	Kolzig	18,690	32-28-8
March 8	Washington	1 - 2	Boston	Huet	17,565	32-29-8
March 9	Pittsburgh	4 - 2	Washington	Huet	18,277	32-30-8
March 12	Calgary	2 - 3	Washington	Kolzig	17,560	33-30-8
March 14	Atlanta	1 - 4	Washington	Kolzig	18,208	34-30-8
March 16	Boston	1 - 2	Washington	Huet	18,277	35-30-8
March 18	Washington	4 - 2	Nashville	Huet	17,133	36-30-8
March 19	Washington	0 - 5	Chicago	Kolzig	20,942	36-31-8
March 21	Washington	5 - 3	Atlanta	Huet	18,562	37-31-8
March 25	Washington	3 - 2	Carolina	Huet	18,680	38-31-8
March 27	Washington	4 - 3	Tampa Bay	Huet	17,777	39-31-8
March 29	Washington	3 - 0	Florida	Huet	17,832	40-31-8
