Date	Tournament	Winning score	Margin of victory	Runner(s)-up
Apr 29, 1984	Houston Coca-Cola Open	–10 (70-68-68-68=274)	1 stroke	Buddy Gardner
May 19, 1985	Colonial National Invitation	–14 (66-64-68-68=266)	4 strokes	Bob Murphy
Feb 16, 1986	Hawaiian Open	–16 (67-67-72-66=272)	2 strokes	Paul Azinger
Sep 21, 1986	Greater Milwaukee Open	–17 (66-72-67-67=272)	Playoff	Dave Barr
Jan 18, 1987	Bob Hope Chrysler Classic	–19 (72-71-65-66-67=341)	1 stroke	Bernhard Langer
Feb 8, 1987	Hawaiian Open	–18 (65-75-66-64=270)	Playoff	Craig Stadler
Oct 16, 1988	Texas Open	–21 (64-63-66-66=259)	8 strokes	Robert Wrenn
Feb 10, 1991	Bob Hope Chrysler Classic	–29 (65-69-66-66-65=331)	Playoff	Mark O'Meara
May 12, 1991	BellSouth Atlanta Golf Classic	–16 (68-67-67-70=272)	Playoff	Steve Pate
Mar 15, 1992	Honda Classic	–15 (68-67-70-68=273)	Playoff	Fred Couples
Feb 13, 1994	Nissan Los Angeles Open	–13 (67-64-72-68=271)	2 strokes	Fred Couples
Feb 26, 1995	Nissan Open	–16 (67-66-68-67=268)	3 strokes	Jay Don Blake , Kenny Perry
Jun 18, 1995	U.S. Open	E (72-69-71-68=280)	2 strokes	Greg Norman
May 19, 1996	MasterCard Colonial	–8 (69-67-67-69=272)	2 strokes	Jeff Sluman
Jul 30, 2006	U.S. Bank Championship in Milwaukee	–20 (61-64-68-67=260)	2 strokes	Jerry Kelly
