Team	Manager	Home city	Stadium	Capacity
Cibalia	Mile Petković	Vinkovci	Stadion HNK Cibalia	9,920
Dinamo Zagreb	Miroslav Blažević	Zagreb	Stadion Maksimir	37,168
Hajduk Split	Zoran Vulić	Split	Stadion Poljud	35,000
Kamen Ingrad	Vjeran Simunić	Velika	Stadion Kamen Ingrada	8,000
Osijek	Milan Đuričić	Osijek	Stadion Gradski vrt	19,500
Pomorac Kostrena	Predrag Stilinović	Kostrena	Stadion Žuknica	3,000
Rijeka	Zlatko Kranjčar	Rijeka	Stadion na Kantridi	10,275
Slaven Belupo	Rajko Magić	Koprivnica	Gradski stadion u Koprivnici	4,000
Šibenik	Franko Bogdan	Šibenik	Stadion Šubićevac	8,000
Varteks	Dražen Besek	Varaždin	Stadion NK Varteks	10,800
Zadar	Stanko Mršić	Zadar	Stadion Stanovi	5,860
NK Zagreb	Ivan Katalinić	Zagreb	Stadion u Kranjčevićevoj ulici	8,850
