Incident No.	Date	Place	Killed	Injured
1	9 February	Dantewada, Chhattisgarh	8	0
2	15 February	Dantewada, Chhattisgarh	3	0
2	28 February	Erraboru, Chhattisgarh	25	0
3	20 March	East Champaran, Bihar	2	0
4	24 March	Gajapati, Odisha	3	0
5	6 April	Sundargarh, Odisha	0	9
6	18 April	Dantewada, Chhattisgarh	0	0
7	13 May	Dantewada, Chhattisgarh	4	5
8	12 June	Kanker, Chhattisgarh	0	0
9	16 July	Dantewada, Chhattisgarh	29	0
10	1 August	WestMidnapore, West Bengal	0	0
11	18 October	Bastar, Chattisgarh	0	0
12	2 December	Bokaro, Jharkhand	14	0
Total	Total	Total	20	14
