Wrestler	Reign	Days held	Location	Event
Rey Misterio Sr.	1	344	Tijuana , Mexico	Live event
Fishman	1	113	Tijuana , Mexico	Live event
Villaño IV	1	1285	Tijuana , Mexico	Live event
Gran Hamada	1	960	Tokyo , Japan	Live event
El Samurai	1	1	Tokyo , Japan	Live event
The Great Sasuke §	1	99	Tokyo , Japan	Live event
Último Dragón §	1	54	Osaka , Japan	Live event
Jushin Liger §	1	183	Tokyo , Japan	Wrestling World 1997
El Samurai §	2	35	Sapporo , Japan	Live event
Shinjiro Otani §	1	56	Nagoya , Japan	Live event
Vacated	—	—	N/A	N/A
Halloween	1	197	Tijuana , Mexico	Live event
Super Parka	1	760	Tijuana , Mexico	Live event
Super Kendo	1	35	Tijuana , Mexico	Live event
Super Parka	2	Unknown	Ensenada, Baja California , Mexico	Live event
Super Kendo	2	Unknown	California	Live event
Inferno	1	1250	Tijuana , Mexico	Live event
Nicho El Millonario	1	60	Rosarito , Baja California , Mexico	Live event
Dr. Wagner, Jr.	1	2170 +	Tijuana , Baja California , Mexico	Live event
