No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code
34	1	"Racing in the Streets"	Brian Hargrove	Chris Sheridan	November14,2001	3ADK-01
35	2	"Amy's Birthday"	Gary Shimokawa	John R. Morey	November21,2001	3ADK-03
36	3	"Tommy's Not Gay"	Gary Shimokawa	Christopher Case	November28,2001	3ADK-04
37	4	"Shannon's Song"	Joe Regalbuto	Sally Lapiduss	December5,2001	3ADK-08
38	5	"Grad School"	Gary Shimokawa	Jennifer Fisher	December12,2001	3ADK-02
39	6	"Houseboat"	Joe Regalbuto	Jim Hope	December19,2001	3ADK-06
40	7	"The Trial"	Jack Kenny	Christopher Titus	January2,2002	3ADK-05
41	8	"Grandma Titus"	Brian Hargrove	Shawn Thomas	January9,2002	2ADK-25
42	9	"Errrr"	Jack Kenny	Chris Sheridan	January16,2002	3ADK-13
43	10	"Tommy's Crush"	Kevin Rodney Sullivan	Patrick Meighan	January23,2002	3ADK-09
44	11	"Into Thin Air"	John Amodeo	Robert Hawkins	January30,2002	3ADK-11
45	12	"Too Damn Good"	Gary Shimokawa	David L. Moses	February6,2002	3ADK-16
46	13	"Bachelor Party"	Leslie Kolins Small	Jennifer Fisher	February13,2002	3ADK-15
47	14	"Hot Streak"	Joe Regalbuto	Patrick Meighan & John R. Morey	February20,2002	3ADK-14
48	15	"The Session"	Brian Hargrove	Matt Ember	March6,2002	3ADK-10
49	16	"Same Courtesy"	Bill Shea	Christopher Case	March20,2002	3ADK-12
50	17	"After Mrs. Shafter"	Bill Shea	Shawn Thomas	July29,2002	3ADK-17
51	18	"The Visit"	Katy Garretson	Christopher Titus	July29,2002	3ADK-18
52/53	19/20	"Insanity Genetic"	Kevin Rodney Sullivan Gary Shimokawa	Jim Hope Nancy Steen & Matt Ember	August5,2002	3ADK-19/3ADK-20
