Pick #	NFL Team	Player	Position	College
197	Denver Broncos	Gary Kubiak	Quarterback	Texas A&M
198	Houston Oilers	Robert Thompson	Linebacker	Michigan
199	Pittsburgh Steelers	Henry Odom	Running back	South Carolina State
200	Los Angeles Rams	Troy West	Defensive back	USC
201	Philadelphia Eagles	Rich Kraynak	Linebacker	Pittsburgh
202	San Diego Chargers	Earnest Jackson	Running back	Texas A&M
203	Chicago Bears	Richard Dent	Defensive end	Tennessee State
204	Kansas City Chiefs	Irv Eatman	Tackle	UCLA
205	New York Giants	Andy Headen	Linebacker	Clemson
206	New Orleans Saints	David Greenwood	Defensive back	Wisconsin
207	Buffalo Bills	James Durham	Defensive back	Houston
208	Detroit Lions	Bill Stapleton	Defensive back	Washington
209	Cleveland Browns	Mike McClearn	Guard	Temple
210	Seattle Seahawks	Matt Hernandez	Tackle	Purdue
211	St. Louis Cardinals	Bob Harris	Defensive back	Auburn
212	Tampa Bay Buccaneers	John Samuelson	Linebacker	Azusa Pacific
213	Minnesota Vikings	Norris Brown	Tight end	Georgia
214	New England Patriots	Ronnie Lippett	Defensive back	Miami (FL)
215	Atlanta Falcons	John Rade	Linebacker	Boise State
216	Green Bay Packers	Carlton Briscoe	Defensive back	McNeese State
217	New York Jets	Davlin Mullen	Defensive back	Western Kentucky
218	Pittsburgh Steelers	Craig Dunaway	Tight end	Michigan
219	Chicago Bears	Mark Bortz	Guard	Iowa
220	Dallas Cowboys	Lawrence Ricks	Running back	Michigan
221	Cincinnati Bengals	Mike Martin	Wide receiver	Illinois
222	Los Angeles Raiders	Mike Dotterer	Running back	Stanford
223	Miami Dolphins	Mark Clayton	Wide receiver	Louisville
