Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
18	December 3	@ Atlanta	L 95–105 (OT)	Hakim Warrick (20)	Rudy Gay (10)	Mike Conley, Jr. , Kyle Lowry (4)	Philips Arena 12,088	4–14
19	December 5	L.A. Clippers	W 93–81 (OT)	Rudy Gay (25)	Darko Miličić (9)	Kyle Lowry (5)	FedExForum 10,484	5–14
20	December 6	@ New Orleans	L 87–106 (OT)	Marc Gasol (21)	Marc Gasol (7)	O. J. Mayo (5)	New Orleans Arena 16,822	5–15
21	December 8	Houston	W 109–97 (OT)	Rudy Gay (20)	Hakim Warrick , Marc Gasol (8)	Kyle Lowry (5)	FedExForum 10,691	6–15
22	December 10	@ Oklahoma City	W 108–102 (OT)	Rudy Gay (22)	Rudy Gay , Hakim Warrick , Marc Gasol (6)	O. J. Mayo , Kyle Lowry (5)	Ford Center 18,009	7–15
23	December 12	Chicago	W 103–96 (OT)	Rudy Gay (29)	Darko Miličić (11)	Mike Conley, Jr. (7)	FedExForum 17,132	8–15
24	December 14	Miami	W 102–86 (OT)	O. J. Mayo (28)	Marc Gasol (7)	Kyle Lowry (5)	FedExForum 12,271	9–15
25	December 16	New Orleans	L 84–91 (OT)	Rudy Gay (28)	Marc Gasol (11)	O. J. Mayo , Mike Conley, Jr. (4)	FedExForum 10,231	9–16
26	December 19	Charlotte	L 83–112 (OT)	Rudy Gay (17)	Marc Gasol (6)	O. J. Mayo (4)	FedExForum 11,869	9–17
27	December 22	L.A. Lakers	L 96–105 (OT)	Rudy Gay (23)	Darko Miličić (8)	Kyle Lowry (7)	FedExForum 17,456	9–18
28	December 23	@ Dallas	L 82–100 (OT)	Hakim Warrick (17)	Rudy Gay (9)	Kyle Lowry (4)	American Airlines Center 20,200	9–19
29	December 26	Indiana	W 108–105 (OT)	Hakim Warrick (21)	O. J. Mayo (8)	O. J. Mayo (7)	FedExForum 12,346	10–19
30	December 27	@ San Antonio	L 103–106 (2OT)	O. J. Mayo (29)	Rudy Gay (11)	Kyle Lowry (8)	AT&T Center 18,797	10–20
31	December 29	@ Minnesota	L 98–108 (OT)	O. J. Mayo (23)	Hakim Warrick (8)	Kyle Lowry (12)	Target Center 12,207	10–21
32	December 30	Phoenix	L 89–101 (OT)	Hakim Warrick (25)	Marc Gasol (13)	Kyle Lowry (6)	FedExForum 14,471	10–22
