Date	Venue	Score	Result	Competition
24 December 2006	Beirut , Lebanon	4–0	Won	2009 Arab Nations Cup qualification
8 October 2007	Saida , Lebanon	4–1	Won	2010 FIFA World Cup Qualification
8 October 2007	Goa , India	2–2	Draw	2010 FIFA World Cup Qualification
2 January 2008	Kuwait City , Kuwait	2–3	Lost	Friendly
9 April 2008	Beirut , Lebanon	4–0	Won	2011 AFC Asian Cup qualification
27 May 2008	Doha , Qatar	1–2	Lost	Friendly
7 June 2008	Riyadh , Saudi Arabia	1–2	Lost	2010 FIFA World Cup Qualification
17 August 2011	Saida , Lebanon	2–3	Lost	Friendly
6 September 2011	Beirut , Lebanon	3–1	Won	2014 FIFA World Cup Qualification
27 May 2012	Muscat , Oman	1–1	Draw	Friendly
15 October 2013	Beirut , Lebanon	1–1	Draw	2015 AFC Asian Cup qualification
