Year(s)	Grand Final Television Commentator	Grand Final Dual Television Commentator	Spokesperson	Semi Final Television Commentator	Semi Final Dual Television Commentator
1956	Michèle Rebel	No Dual Television Commentator	No Spokesperson	No Semi Finals	No Semi Finals
1957	Robert Beauvais	No Dual Television Commentator	Claude Darget	No Semi Finals	No Semi Finals
1958	Pierre Tchernia	No Dual Television Commentator	Claude Darget	No Semi Finals	No Semi Finals
1959	Claude Darget	No Dual Television Commentator	Marianne Lecène	No Semi Finals	No Semi Finals
1960	Pierre Tchernia	No Dual Television Commentator	Unknown	No Semi Finals	No Semi Finals
1961	Guy Lux	No Dual Television Commentator	Unknown	No Semi Finals	No Semi Finals
1962	Pierre Tchernia	No Dual Television Commentator	Unknown	No Semi Finals	No Semi Finals
1963	Pierre Tchernia	No Dual Television Commentator	Unknown	No Semi Finals	No Semi Finals
1964	Robert Beauvais	No Dual Television Commentator	Unknown	No Semi Finals	No Semi Finals
1965	Pierre Tchernia	No Dual Television Commentator	Unknown	No Semi Finals	No Semi Finals
1966	François Deguelt	No Dual Television Commentator	Unknown	No Semi Finals	No Semi Finals
1967	Pierre Tchernia	No Dual Television Commentator	Unknown	No Semi Finals	No Semi Finals
1968	Pierre Tchernia	No Dual Television Commentator	Unknown	No Semi Finals	No Semi Finals
1969	Pierre Tchernia	No Dual Television Commentator	Unknown	No Semi Finals	No Semi Finals
1970	Pierre Tchernia	No Dual Television Commentator	Unknown	No Semi Finals	No Semi Finals
1971	Georges de Caunes	No Dual Television Commentator	No spokesperson	No Semi Finals	No Semi Finals
1972	Pierre Tchernia	No Dual Television Commentator	No spokesperson	No Semi Finals	No Semi Finals
1973	Pierre Tchernia	No Dual Television Commentator	No spokesperson	No Semi Finals	No Semi Finals
1974	Pierre Tchernia	No Dual Television Commentator	Did not participate	No Semi Finals	No Semi Finals
1975	Georges de Caunes	No Dual Television Commentator	Unknown	No Semi Finals	No Semi Finals
1976	Jean-Claude Massoulier	No Dual Television Commentator	Unknown	No Semi Finals	No Semi Finals
1977	Georges de Caunes	No Dual Television Commentator	Unknown	No Semi Finals	No Semi Finals
1978	Léon Zitrone	Denise Fabre	Unknown	No Semi Finals	No Semi Finals
1979	Marc Menant	No Dual Television Commentator	Fabienne Égal	No Semi Finals	No Semi Finals
1980	Patrick Sabatier	No Dual Television Commentator	Fabienne Égal	No Semi Finals	No Semi Finals
1981	Patrick Sabatier	No Dual Television Commentator	Fabienne Égal	No Semi Finals	No Semi Finals
1982	No television broadcast	No Dual Television Commentator	Did not participate	No Semi Finals	No Semi Finals
1983	Léon Zitrone	No Dual Television Commentator	Geneviève Moll	No Semi Finals	No Semi Finals
1984	Léon Zitrone	No Dual Television Commentator	Gillette Aho	No Semi Finals	No Semi Finals
1985	Patrice Laffont	No Dual Television Commentator	Élisabeth Tordjman	No Semi Finals	No Semi Finals
1986	Patrice Laffont	No Dual Television Commentator	Patricia Lesieur	No Semi Finals	No Semi Finals
1987	Patrick Simpson-Jones	No Dual Television Commentator	Lionel Cassan	No Semi Finals	No Semi Finals
1988	Lionel Cassan	No Dual Television Commentator	Catherine Ceylac	No Semi Finals	No Semi Finals
1989	Lionel Cassan	No Dual Television Commentator	Marie-Ange Nardi	No Semi Finals	No Semi Finals
1990	Richard Adaridi	No Dual Television Commentator	Valérie Maurice	No Semi Finals	No Semi Finals
1991	Léon Zitrone	No Dual Television Commentator	Marie-France Brière	No Semi Finals	No Semi Finals
1992	Thierry Beccaro	No Dual Television Commentator	Laurent Romejko	No Semi Finals	No Semi Finals
1993	Patrice Laffont	No Dual Television Commentator	Laurent Romejko	No Semi Finals	No Semi Finals
1994	Patrice Laffont	No Dual Television Commentator	Laurent Romejko	No Semi Finals	No Semi Finals
1995	Olivier Minne	No Dual Television Commentator	Thierry Beccaro	No Semi Finals	No Semi Finals
1996	Olivier Minne	No Dual Television Commentator	Laurent Broomhead	No Semi Finals	No Semi Finals
1997	Olivier Minne	No Dual Television Commentator	Frédéric Ferrer & Marie Myriam	No Semi Finals	No Semi Finals
1998	Chris Mayne	Laura Mayne	Marie Myriam	No Semi Finals	No Semi Finals
1999	Julien Lepers	No Dual Television Commentator	Marie Myriam	No Semi Finals	No Semi Finals
2000	Julien Lepers	No Dual Television Commentator	Marie Myriam	No Semi Finals	No Semi Finals
2001	Marc-Olivier Fogiel	Dave	Corinne Hermès	No Semi Finals	No Semi Finals
2002	Marc-Olivier Fogiel	Dave	Marie Myriam	No Semi Finals	No Semi Finals
2003	Laurent Ruquier	Isabelle Mergault	Sandrine François	No Semi Finals	No Semi Finals
2004	Laurent Ruquier	Elsa Fayer	Alex Taylor	No broadcast	No broadcast
2005	Julien Lepers	Guy Carlier	Marie Myriam	Peggy Olmi	No Dual Commentator
2006	Michel Drucker	Claudy Siar	Sophie Jovillard	Peggy Olmi	Eric Jeanjean
2007	Julien Lepers	Tex	Vanessa Dolmen	Peggy Olmi	Yann Renoard
2008	Julien Lepers	Jean-Paul Gaultier	Cyril Hanouna	Peggy Olmi	Yann Renoard
2009	Cyril Hanouna	Julien Courbet	Yann Renoard	Peggy Olmi	Yann Renoard
2010	Cyril Hanouna	Stéphane Bern	Audrey Chauveau	Peggy Olmi	Yann Renoard
2011	Laurent Boyer	Catherine Lara	Cyril Féraud	Audrey Chauveau	Bruno Berberes
2012	Cyril Féraud	Mireille Dumas	Amaury Vassili	Audrey Chauveau	Bruno Berberes
2013	Cyril Féraud	Mireille Dumas	Marine Vignes	Audrey Chauveau	Bruno Berberes
