Series #	Season #	Title	Directed by	Written by	Original air date	U.S. viewers (millions)
48	1	" Listen to the Rain on the Roof "	Larry Shaw	Marc Cherry & Jeff Greenstein	September24,2006	24.09
49	2	" It Takes Two "	David Grossman	Kevin Murphy & Jenna Bans	October1,2006	21.42
50	3	" A Weekend in the Country "	Wendey Stanzler	Bob Daily	October8,2006	20.96
51	4	" Like It Was "	Larry Shaw	John Pardee & Joey Murphy	October15,2006	20.64
52	5	" Nice She Ain't "	David Warren	Alexandra Cunningham & Susan Nirah Jaffee	October22,2006	19.71
53	6	" Sweetheart, I Have to Confess "	David Grossman	Dahvi Waller & Josh Senter	October29,2006	21.24
54	7	" Bang "	Larry Shaw	Joe Keenan	November5,2006	22.65
55	8	" Children and Art "	Wendey Stanzler	Kevin Etten & Jenna Bans	November12,2006	22.27
56	9	" Beautiful Girls "	David Grossman	Dahvi Waller & Susan Nirah Jaffee	November19,2006	21.63
57	10	" The Miracle Song "	Larry Shaw	Bob Daily	November26,2006	21.43
58	11	" No Fits, No Fights, No Feuds "	Sanaa Hamri	Alexandra Cunningham & Josh Senter	January7,2007	18.71
59	12	" Not While I'm Around "	David Grossman	Kevin Murphy & Kevin Etten	January14,2007	16.76
60	13	" Come Play Wiz Me "	Larry Shaw	Valerie Ahern & Christian McLaughlin	January21,2007	17.14
61	14	" I Remember That "	David Warren	John Pardee & Joey Murphy	February11,2007	18.10
62	15	" The Little Things You Do Together "	David Grossman	Marc Cherry & Joe Keenan	February18,2007	18.51
63	16	" My Husband, the Pig "	Larry Shaw	Brian A. Alexander	March4,2007	18.31
64	17	" Dress Big "	Matthew Diamond	Kevin Etten & Susan Nirah Jaffee	April8,2007	15.93
65	18	" Liaisons "	David Grossman	Jenna Bans & Alexandra Cunningham	April15,2007	16.35
66	19	" God, That's Good "	Larry Shaw	Dahvi Waller & Josh Senter	April22,2007	15.91
67	20	" Gossip "	Wendey Stanzler	John Pardee & Joey Murphy	April29,2007	17.17
68	21	" Into the Woods "	David Grossman	Alexandra Cunningham	May6,2007	17.16
69	22	" What Would We Do Without You? "	Larry Shaw	Bob Daily	May13,2007	16.13
