Driver	Constructor	Laps	Time/Retired	Grid
David Coulthard	McLaren - Mercedes	62	1:34:25.4	1
Michael Schumacher	Ferrari	62	+4.554	3
Eddie Irvine	Ferrari	62	+51.775	4
Jacques Villeneuve	Williams - Mecachrome	62	+54.59	6
Heinz-Harald Frentzen	Williams - Mecachrome	62	+1:17.476	8
Jean Alesi	Sauber - Petronas	61	+1 Lap	12
Ralf Schumacher	Jordan - Mugen-Honda	60	+2 Laps	9
Esteban Tuero	Minardi - Ford	60	+2 Laps	19
Mika Salo	Arrows	60	+2 Laps	14
Damon Hill	Jordan - Mugen-Honda	57	Hydraulics	7
Olivier Panis	Prost - Peugeot	56	Engine	13
Ricardo Rosset	Tyrrell - Ford	48	Engine	22
Toranosuke Takagi	Tyrrell - Ford	40	Engine	15
Jarno Trulli	Prost - Peugeot	34	Throttle	16
Shinji Nakano	Minardi - Ford	27	Engine	21
Pedro Diniz	Arrows	18	Engine	18
Mika Häkkinen	McLaren - Mercedes	17	Gearbox	2
Giancarlo Fisichella	Benetton - Playlife	17	Spun off	10
Alexander Wurz	Benetton - Playlife	17	Engine	5
Johnny Herbert	Sauber - Petronas	12	Puncture	11
Jan Magnussen	Stewart - Ford	8	Transmission	20
Rubens Barrichello	Stewart - Ford	0	Spun off	17
