Opposing Teams	Against	Date	Venue	Status
Wales	15	03/02/2001	Millennium Stadium , Cardiff	Six Nations
Italy	23	17/02/2001	Twickenham , London	Six Nations
Scotland	3	03/03/2001	Twickenham , London	Six Nations
France	19	07/04/2001	Twickenham , London	Six Nations
Canada	10	02/06/2001	Fletcher's Fields , Markham	First Test
Canada	20	09/06/2001	Swangard Stadium , Burnaby	Second Test
U.S.A.	19	16/06/2001	Balboa Stadium , San Francisco	Test Match
Ireland	20	20/10/2001	Lansdowne Road , Dublin	Six Nations
Australia	15	10/11/2001	Twickenham , London	Test Match
Romania	0	17/11/2001	Twickenham , London	Test Match
South Africa	9	24/11/2001	Twickenham , London	Test Match
