Rank	Nation	Gold	Silver	Bronze	Total
1	Russia	10	8	7	25
2	Great Britain	6	5	2	13
3	Germany	5	4	5	14
4	France	4	3	2	9
5	Ukraine	3	6	3	12
6	Spain	3	2	4	9
7	Norway	3	2	1	6
8	Italy	2	3	3	8
9	Portugal	2	1	0	3
10	Bulgaria	2	0	3	5
11	Belarus	1	4	0	5
12	Finland	1	1	0	2
13	Ireland	1	0	0	1
13	Slovenia	1	0	0	1
15	Sweden	0	2	0	2
16	Belgium	0	1	2	3
17	Czech Republic	0	1	1	2
17	Poland	0	1	1	2
19	Hungary	0	1	0	1
20	Romania	0	0	3	3
21	Switzerland	0	0	2	2
22	Croatia	0	0	1	1
22	Greece	0	0	1	1
22	Latvia	0	0	1	1
22	Lithuania	0	0	1	1
25	Total	44	45	43	132
