Athlete Name	Jump 1	Jump 2	Jump 3	Best Jump
Gregory Bell ( USA )	6.98	7.83	7.77	7.83 m
John Bennett ( USA )	7.68	7.61	X	7.68 m
Jorma Valkama ( FIN )	7.11	X	7.48	7.48 m
Dmitriy Bondarenko ( URS )	7.44	X	7.13	7.44 m
Karim Olowu ( NGR )	7.28	6.77	7.36	7.36 m
Kazimierz Kropidlowski ( POL )	7.27	6.92	7.30	7.30 m
Neville Price ( RSA )	X	7.28	X	7.28 m
Oleg Fyodoseyev ( URS )	X	7.25	7.27	7.27 m
Arthur Gruttenden ( GBR )	7.15	X	6.96	7.15 m
Henryk Grabowski ( POL )	X	X	7.15	7.15 m
Ken Wilmshurst ( GBR )	7.14	7.06	7.05	7.14 m
Fermín Donazar ( URU )	X	X	6.57	6.57 m
Igor Ter-Ovanesian ( URS )	X	X	X	No Mark
