Tie no	Home team	Score	Away team	Date
1	Chesterfield	1–2	Notts County	29 November 1930
2	Nelson	4–0	Workington	29 November 1930
3	Rochdale	1–2	Doncaster Rovers	29 November 1930
4	Walsall	1–0	Bournemouth & Boscombe Athletic	29 November 1930
5	Folkestone	5–3	Sittingbourne	29 November 1930
6	Gillingham	7–2	Guildford City	29 November 1930
7	Crewe Alexandra	1–0	Jarrow	29 November 1930
8	Lincoln City	8–3	Barrow	29 November 1930
9	Luton Town	2–2	Clapton Orient	29 November 1930
Replay	Clapton Orient	2–4	Luton Town	4 December 1930
10	Gainsborough Trinity	1–0	Scunthorpe United	29 November 1930
11	Scarborough	6–0	Rhyl Athletic	29 November 1930
12	Wrexham	2–0	Wigan Borough	29 November 1930
13	Ilford	1–6	Brentford	29 November 1930
14	Tranmere Rovers	4–4	Gateshead	29 November 1930
Replay	Gateshead	3–2	Tranmere Rovers	3 December 1930
15	Wellington Town	0–0	Wombwell	29 November 1930
Replay	Wombwell	0–3	Wellington Town	4 December 1930
16	Queens Park Rangers	5–0	Thames	29 November 1930
17	Fulham	1–1	Wimbledon	29 November 1930
Replay	Wimbledon	0–6	Fulham	3 December 1930
18	Accrington Stanley	3–1	Lancaster Town	29 November 1930
19	Bristol Rovers	4–1	Merthyr Town	29 November 1930
20	Northampton Town	1–2	Coventry City	29 November 1930
21	Norwich City	2–0	Swindon Town	29 November 1930
22	Northfleet United	0–3	Exeter City	29 November 1930
23	Carlisle United	3–1	New Brighton	29 November 1930
24	Tunbridge Wells Rangers	3–0	Kingstonian	29 November 1930
25	Crystal Palace	6–0	Taunton Town (1)	29 November 1930
26	Southend United	0–1	Torquay United	29 November 1930
27	Hartlepools United	2–3	Stockport County	29 November 1930
28	Halifax Town	2–2	Mansfield Town	29 November 1930
Replay	Mansfield Town	1–2	Halifax Town	3 December 1930
29	Southport	4–2	Darlington	29 November 1930
30	Dulwich Hamlet	2–2	Newport County	29 November 1930
Replay	Newport County	4–1	Dulwich Hamlet	4 December 1930
31	Walthamstow Avenue	1–5	Watford	29 November 1930
32	York City	3–1	Gresley Rovers	29 November 1930
33	Newark Town	2–1	Rotherham United	29 November 1930
34	Aldershot	4–1	Peterborough & Fletton United	29 November 1930
