Game	Date	Opponent	Score	High points	High rebounds	High assists	Location/Attendance	Record
4	June 1	Connecticut	73-75	Perkins (21)	Fowles (12)	Canty (5)	UIC Pavilion 2,276	1-3
5	June 3	Los Angeles	77-81 (OT)	Dupree (22)	Dupree (11)	Canty (8)	UIC Pavilion 6,304	1-4
6	June 6	@ Atlanta	86-72	Canty , Perkins (16)	Dupree , Perkins (9)	Price (5)	Philips Arena 7,418	2-4
7	June 7	Atlanta	91-70	Dupree (20)	Melvin (7)	Canty (6)	UIC Pavilion 3,182	3-4
8	June 13	Washington	57-64	Perkins (17)	Dupree (8)	Canty , Price (4)	UIC Pavilion 2,600	3-5
9	June 18	@ Los Angeles	67-80	Perkins (18)	Dupree (8)	Canty , Dupree (3)	STAPLES Center 7,245	3-6
10	June 20	@ Phoenix	105-112 (OT)	Perkins (30)	Dupree (12)	Dupree (5)	US Airways Center 7,311	3-7
11	June 22	@ Sacramento	70-82	Perkins (22)	Dupree (11)	Canty (8)	ARCO Arena 6,107	3-8
12	June 26	Phoenix	79-89	Melvin (19)	Melvin (15)	Wyckoff (9)	UIC Pavilion 3,103	3-9
13	June 28	Detroit	76-59	Dupree (18)	Dupree , Melvin (8)	Melvin (5)	UIC Pavilion 3,407	4-9
