Week	Date	Opponent	Result	Game site	Attendance
1	1978-09-03	Miami Dolphins	W 33–20	Shea Stadium	49,598
2	1978-09-10	at Buffalo Bills	W 21–20	Rich Stadium	40,985
3	1978-09-17	Seattle Seahawks	L 17–24	Shea Stadium	46,911
4	1978-09-24	at Washington Redskins	L 3–23	Robert F. Kennedy Memorial Stadium	54,729
5	1978-10-01	Pittsburgh Steelers	L 17-28	Shea Stadium	52,058
6	1978-10-08	Buffalo Bills	W 45–14	Shea Stadium	44,545
7	1978-10-15	at Baltimore Colts	W 33–10	Memorial Stadium	45,563
8	1978-10-22	St. Louis Cardinals	W 23–10	Shea Stadium	49,244
9	1978-10-29	at New England Patriots	L 21-55	Schafer Stadium	60,585
10	1978-11-05	at Denver Broncos	W 31–28	Mile High Stadium	74,983
11	1978-11-12	at Philadelphia Eagles	L 9-17	Veterans Stadium	60,249
12	1978-11-19	New England Patriots	L 17–19	Shea Stadium	55,568
13	1978-11-26	at Miami Dolphins	W 24–13	Miami Orange Bowl	49,255
14	1978-12-03	Baltimore Colts	W 24–16	Shea Stadium	50,248
15	1978-12-10	at Cleveland Browns	L 34–37 (OT)	Cleveland Stadium	36,881
16	1978-12-17	Dallas Cowboys	L 7–30	Shea Stadium	52,532
