Town	Population (2001)	Population rank	County	Municipality
Adutiškis	778	82	Vilnius County	Švenčionys district municipality
Akademija, Kaunas	4,213	1	Kaunas County	Kaunas district municipality
Akademija, Kėdainiai	873	71	Kaunas County	Kėdainiai district municipality
Alanta	464	157	Utena County	Molėtai district municipality
Alizava	450	159	Panevėžys County	Kupiškis district municipality
Alsėdžiai	956	57	Telšiai County	Plungė district municipality
Andrioniškis	278	203	Utena County	Anykščiai district municipality
Antalieptė	359	182	Utena County	Zarasai district municipality
Antašava	247	214	Panevėžys County	Kupiškis district municipality
Aukštadvaris	1,031	41	Vilnius County	Trakai district municipality
Babtai	1,715	15	Kaunas County	Kaunas district municipality
Bagaslaviškis	185	232	Vilnius County	Širvintos district municipality
Baisogala	2,548	3	Šiauliai County	Radviliškis district municipality
Balbieriškis	1,180	32	Kaunas County	Prienai district municipality
Balninkai	470	154	Utena County	Molėtai district municipality
Barstyčiai	659	108	Klaipėda County	Skuodas district municipality
Bartninkai	495	145	Marijampolė County	Vilkaviškis district municipality
Barzdai	472	152	Marijampolė County	Šakiai district municipality
Batakiai	261	208	Tauragė County	Tauragė district municipality
Bazilionai	475	150	Šiauliai County	Šiauliai district municipality
Betygala	559	129	Kaunas County	Raseiniai district municipality
Bezdonys	857	73	Vilnius County	Vilnius district municipality
Butrimonys	1,126	35	Alytus County	Alytus district municipality
Čedasai	239	218	Panevėžys County	Rokiškis district municipality
Čekiškė	734	90	Kaunas County	Kaunas district municipality
Darbėnai	1,598	20	Klaipėda County	Kretinga district municipality
Daugailiai	351	183	Utena County	Utena district municipality
Daujėnai	479	149	Panevėžys County	Pasvalys district municipality
Daukšiai	310	192	Marijampolė County	Marijampolė municipality
Debeikiai	452	158	Utena County	Anykščiai district municipality
Deltuva	503	143	Vilnius County	Ukmergė district municipality
Dieveniškės	916	62	Vilnius County	Šalčininkai district municipality
Dotnuva	775	85	Kaunas County	Kėdainiai district municipality
Dovilai	1,231	29	Klaipėda County	Klaipėda district municipality
Dubingiai	239	219	Utena County	Molėtai district municipality
Duokiškis	248	211	Panevėžys County	Rokiškis district municipality
Eigirdžiai	746	88	Telšiai County	Telšiai district municipality
Endriejavas	718	94	Klaipėda County	Klaipėda district municipality
Eržvilkas	518	139	Tauragė County	Jurbarkas district municipality
Gadūnavas	122	240	Telšiai County	Telšiai district municipality
Gardamas	437	163	Klaipėda County	Šilutė district municipality
Gaurė	468	155	Tauragė County	Tauragė district municipality
Geležiai	386	174	Panevėžys County	Panevėžys district municipality
Gelvonai	380	176	Vilnius County	Širvintos district municipality
Giedraičiai	778	83	Utena County	Molėtai district municipality
Girkalnis	997	49	Kaunas County	Raseiniai district municipality
Gražiškiai	401	167	Marijampolė County	Vilkaviškis district municipality
Grinkiškis	900	65	Šiauliai County	Radviliškis district municipality
Griškabūdis	1,024	43	Marijampolė County	Šakiai district municipality
Gruzdžiai	1,747	12	Šiauliai County	Šiauliai district municipality
Gudeliai	447	160	Marijampolė County	Marijampolė municipality
Gudžiūnai	656	110	Kaunas County	Kėdainiai district municipality
Igliškėliai	334	185	Marijampolė County	Marijampolė municipality
Janapolė	465	156	Telšiai County	Telšiai district municipality
Jašiūnai	1,879	9	Vilnius County	Šalčininkai district municipality
Joniškis, Utena	325	187	Utena County	Molėtai district municipality
Josvainiai	1,545	22	Kaunas County	Kėdainiai district municipality
Judrėnai	531	132	Klaipėda County	Klaipėda district municipality
Jūžintai	491	146	Panevėžys County	Rokiškis district municipality
Kačerginė	715	97	Kaunas County	Kaunas district municipality
Kairiai	1,158	34	Šiauliai County	Šiauliai district municipality
Kaltanėnai	282	202	Vilnius County	Švenčionys district municipality
Kaltinėnai	835	74	Tauragė County	Šilalė district municipality
Kamajai	681	101	Panevėžys County	Rokiškis district municipality
Kapčiamiestis	691	99	Alytus County	Lazdijai district municipality
Karklėnai	401	168	Šiauliai County	Kelmė district municipality
Karmėlava	2,886	2	Kaunas County	Kaunas district municipality
Kartena	1,022	44	Klaipėda County	Kretinga district municipality
Katyčiai	737	89	Klaipėda County	Šilutė district municipality
Kernavė	307	194	Vilnius County	Širvintos district municipality
Keturvalakiai	134	237	Marijampolė County	Vilkaviškis district municipality
Kintai	833	75	Klaipėda County	Šilutė district municipality
Klovainiai	980	52	Šiauliai County	Pakruojis district municipality
Krakės	991	51	Kaunas County	Kėdainiai district municipality
Kražiai	784	80	Šiauliai County	Kelmė district municipality
Krekenava	2,003	6	Panevėžys County	Panevėžys district municipality
Kretingalė	977	53	Klaipėda County	Klaipėda district municipality
Krikliniai	290	199	Panevėžys County	Pasvalys district municipality
Krinčinas	527	134	Panevėžys County	Pasvalys district municipality
Kriukai	602	118	Šiauliai County	Joniškis district municipality
Kriūkai	371	179	Marijampolė County	Šakiai district municipality
Krokialaukis	239	220	Alytus County	Alytus district municipality
Krosna	401	169	Alytus County	Lazdijai district municipality
Kruonis	726	92	Kaunas County	Kaišiadorys district municipality
Kruopiai	614	114	Šiauliai County	Akmenė district municipality
Kuktiškės	485	147	Utena County	Utena district municipality
Kuliai	704	98	Telšiai County	Plungė district municipality
Kupreliškis	248	212	Panevėžys County	Biržai district municipality
Kurkliai	474	151	Utena County	Anykščiai district municipality
Kurtuvėnai	326	186	Šiauliai County	Šiauliai district municipality
Kužiai	1,420	26	Šiauliai County	Šiauliai district municipality
Kvėdarna	1,934	7	Tauragė County	Šilalė district municipality
Labanoras	75	244	Vilnius County	Švenčionys district municipality
Laižuva	560	128	Telšiai County	Mažeikiai district municipality
Lapės	1,038	40	Kaunas County	Kaunas district municipality
Lauko Soda	177	233	Telšiai County	Telšiai district municipality
Laukuva	998	47	Tauragė County	Šilalė district municipality
Leckava	235	222	Telšiai County	Mažeikiai district municipality
Leipalingis	1,736	13	Alytus County	Druskininkai municipality
Lekėčiai	1,040	39	Marijampolė County	Šakiai district municipality
Leliūnai	483	148	Utena County	Utena district municipality
Lenkimai	779	81	Klaipėda County	Skuodas district municipality
Lioliai	544	130	Šiauliai County	Kelmė district municipality
Liudvinavas	1,055	37	Marijampolė County	Marijampolė municipality
Lukšiai	1,651	16	Marijampolė County	Šakiai district municipality
Luokė	777	84	Telšiai County	Telšiai district municipality
Lyduokiai	169	234	Vilnius County	Ukmergė district municipality
Lyduvėnai	125	238	Kaunas County	Raseiniai district municipality
Lygumai	664	105	Šiauliai County	Pakruojis district municipality
Maišiagala	1,634	18	Vilnius County	Vilnius district municipality
Merkinė	1,434	25	Alytus County	Varėna district municipality
Meškuičiai	1,218	30	Šiauliai County	Šiauliai district municipality
Mickūnai	1,415	27	Vilnius County	Vilnius district municipality
Mielagėnai	286	201	Utena County	Ignalina district municipality
Miežiškiai	716	95	Panevėžys County	Panevėžys district municipality
Mosėdis	1,379	28	Klaipėda County	Skuodas district municipality
Musninkai	472	153	Vilnius County	Širvintos district municipality
Naujamiestis, Panevėžys	832	76	Panevėžys County	Panevėžys district municipality
Nemakščiai	905	64	Kaunas County	Raseiniai district municipality
Nemunaitis	218	228	Alytus County	Alytus district municipality
Nemunėlio Radviliškis	729	91	Panevėžys County	Biržai district municipality
Nerimdaičiai	349	184	Telšiai County	Telšiai district municipality
Nevarėnai	659	109	Telšiai County	Telšiai district municipality
Onuškis	584	123	Vilnius County	Trakai district municipality
Pabaiskas	249	210	Vilnius County	Ukmergė district municipality
Pabiržė	364	181	Panevėžys County	Biržai district municipality
Pagiriai	523	137	Kaunas County	Kėdainiai district municipality
Pagramantis	569	126	Tauragė County	Tauragė district municipality
Pajūris	872	72	Tauragė County	Šilalė district municipality
Pakuonis	680	102	Kaunas County	Prienai district municipality
Palėvenė	89	243	Panevėžys County	Kupiškis district municipality
Palonai	441	161	Šiauliai County	Radviliškis district municipality
Panemunėlis	287	200	Panevėžys County	Rokiškis district municipality
Panemunis	308	193	Panevėžys County	Rokiškis district municipality
Panoteriai	399	170	Kaunas County	Jonava district municipality
Papilė	1,449	24	Šiauliai County	Akmenė district municipality
Papilys	312	191	Panevėžys County	Biržai district municipality
Pašilė	224	227	Šiauliai County	Kelmė district municipality
Pašušvys	395	172	Šiauliai County	Radviliškis district municipality
Pašvitinys	440	162	Šiauliai County	Pakruojis district municipality
Pavandenė	323	188	Telšiai County	Telšiai district municipality
Pernarava	299	196	Kaunas County	Kėdainiai district municipality
Pikeliai	520	138	Telšiai County	Mažeikiai district municipality
Pilviškiai	1,493	23	Marijampolė County	Vilkaviškis district municipality
Plateliai	1,021	45	Telšiai County	Plungė district municipality
Plikiai	607	117	Klaipėda County	Klaipėda district municipality
Pociūnėliai	535	131	Šiauliai County	Radviliškis district municipality
Pumpėnai	952	58	Panevėžys County	Pasvalys district municipality
Pušalotas	885	67	Panevėžys County	Pasvalys district municipality
Raguva	610	115	Panevėžys County	Panevėžys district municipality
Raudonė	716	96	Tauragė County	Jurbarkas district municipality
Rimšė	274	204	Utena County	Ignalina district municipality
Rozalimas	928	61	Šiauliai County	Pakruojis district municipality
Rudamina	296	198	Alytus County	Lazdijai district municipality
Rukla	2,374	4	Kaunas County	Jonava district municipality
Rumšiškės	1,833	10	Kaunas County	Kaišiadorys district municipality
Rusnė	1,642	17	Klaipėda County	Šilutė district municipality
Šakyna	425	164	Šiauliai County	Šiauliai district municipality
Salamiestis	300	195	Panevėžys County	Kupiškis district municipality
Saldutiškis	389	173	Utena County	Utena district municipality
Saločiai	913	63	Panevėžys County	Pasvalys district municipality
Salos	228	225	Panevėžys County	Rokiškis district municipality
Sasnava	670	104	Marijampolė County	Marijampolė municipality
Šaukėnai	721	93	Šiauliai County	Kelmė district municipality
Šaukotas	583	124	Šiauliai County	Radviliškis district municipality
Seirijai	933	60	Alytus County	Lazdijai district municipality
Semeliškės	660	107	Vilnius County	Elektrėnai municipality
Senasis Subačius	194	230	Panevėžys County	Kupiškis district municipality
Seredžius	749	87	Tauragė County	Jurbarkas district municipality
Šeštokai	755	86	Alytus County	Lazdijai district municipality
Šešuoliai	189	231	Vilnius County	Ukmergė district municipality
Šėta	1,025	42	Kaunas County	Kėdainiai district municipality
Šiaulėnai	890	66	Šiauliai County	Radviliškis district municipality
Sidabravas	610	116	Šiauliai County	Radviliškis district municipality
Siesikai	601	120	Vilnius County	Ukmergė district municipality
Šilai	298	197	Panevėžys County	Panevėžys district municipality
Šiluva	800	78	Kaunas County	Raseiniai district municipality
Šimkaičiai	265	207	Tauragė County	Jurbarkas district municipality
Šimonys	505	141	Panevėžys County	Kupiškis district municipality
Sintautai	586	122	Marijampolė County	Šakiai district municipality
Skaistgirys	964	54	Šiauliai County	Joniškis district municipality
Skapiškis	496	144	Panevėžys County	Kupiškis district municipality
Skiemonys	92	242	Utena County	Anykščiai district municipality
Smilgiai	652	111	Panevėžys County	Panevėžys district municipality
Stakiai	241	217	Tauragė County	Jurbarkas district municipality
Sudeikiai	407	166	Utena County	Utena district municipality
Šumskas	998	48	Vilnius County	Vilnius district municipality
Šunskai	524	135	Marijampolė County	Marijampolė municipality
Surdegis	244	216	Utena County	Anykščiai district municipality
Surviliškis	376	178	Kaunas County	Kėdainiai district municipality
Suvainiškis	245	215	Panevėžys County	Rokiškis district municipality
Svėdasai	1,002	46	Utena County	Anykščiai district municipality
Švėkšna	2,053	5	Klaipėda County	Šilutė district municipality
Šventežeris	274	205	Alytus County	Lazdijai district municipality
Taujėnai	322	189	Vilnius County	Ukmergė district municipality
Tauragnai	602	119	Utena County	Utena district municipality
Teneniai	369	180	Tauragė County	Šilalė district municipality
Tirkšliai	1,626	19	Telšiai County	Mažeikiai district municipality
Traupis	229	224	Utena County	Anykščiai district municipality
Truskava	137	236	Kaunas County	Kėdainiai district municipality
Tryškiai	1,555	21	Telšiai County	Telšiai district municipality
Turmantas	397	171	Utena County	Zarasai district municipality
Tverai	680	103	Telšiai County	Rietavas municipality
Tverečius	272	206	Utena County	Ignalina district municipality
Ubiškė	215	229	Telšiai County	Telšiai district municipality
Upyna	409	165	Tauragė County	Šilalė district municipality
Užpaliai	877	70	Utena County	Utena district municipality
Vadaktai	227	226	Šiauliai County	Radviliškis district municipality
Vadokliai	651	112	Panevėžys County	Panevėžys district municipality
Vadžgirys	505	142	Tauragė County	Jurbarkas district municipality
Vainutas	993	50	Klaipėda County	Šilutė district municipality
Valkininkai	238	221	Alytus County	Varėna district municipality
Vandžiogala	946	59	Kaunas County	Kaunas district municipality
Vaškai	688	100	Panevėžys County	Pasvalys district municipality
Veiveriai	1,100	36	Kaunas County	Prienai district municipality
Veiviržėnai	964	55	Klaipėda County	Klaipėda district municipality
Veliuona	883	68	Tauragė County	Jurbarkas district municipality
Vepriai	663	106	Vilnius County	Ukmergė district municipality
Vėžaičiai	1,749	11	Klaipėda County	Klaipėda district municipality
Vidiškiai	528	133	Vilnius County	Ukmergė district municipality
Viduklė	1,911	8	Kaunas County	Raseiniai district municipality
Viešintos	383	175	Utena County	Anykščiai district municipality
Viešvilė	1,045	38	Tauragė County	Jurbarkas district municipality
Vilkyškiai	883	69	Tauragė County	Pagėgiai municipality
Vištytis	566	127	Marijampolė County	Vilkaviškis district municipality
Vyžuonos	581	125	Utena County	Utena district municipality
Ylakiai	1,165	33	Klaipėda County	Skuodas district municipality
Žaiginys	380	177	Kaunas County	Raseiniai district municipality
Žalpiai	125	239	Šiauliai County	Kelmė district municipality
Zapyškis	254	209	Kaunas County	Kaunas district municipality
Žarėnai	588	121	Telšiai County	Telšiai district municipality
Žasliai	818	77	Kaunas County	Kaišiadorys district municipality
Žeimelis	1,216	31	Šiauliai County	Pakruojis district municipality
Žeimiai	962	56	Kaunas County	Jonava district municipality
Želva	516	140	Vilnius County	Ukmergė district municipality
Žemaičių Kalvarija	798	79	Telšiai County	Plungė district municipality
Žemaičių Naumiestis	1,716	14	Klaipėda County	Šilutė district municipality
Žemaitkiemis	313	190	Vilnius County	Ukmergė district municipality
Žemoji Panemunė	106	241	Marijampolė County	Šakiai district municipality
Zibalai	165	235	Vilnius County	Širvintos district municipality
Židikai	524	136	Telšiai County	Mažeikiai district municipality
Žvingiai	231	223	Tauragė County	Šilalė district municipality
Žvirgždaičiai	248	213	Marijampolė County	Šakiai district municipality
Žygaičiai	643	113	Tauragė County	Tauragė district municipality
