Country	Skip	W	L	PF	PA	Ends Won	Ends Lost	Blank Ends	Stolen Ends	Shot Pct.
Canada	Jeff Stoughton	10	1	84	49	47	37	17	11	90
Scotland	Tom Brewster	9	2	72	54	42	38	22	10	83
Sweden	Niklas Edin	7	4	81	58	50	39	9	13	90
Norway	Thomas Ulsrud	7	4	64	63	47	42	18	13	84
France	Thomas Dufour	7	4	75	64	48	37	10	13	83
Germany	Andy Kapp	6	5	71	64	48	46	13	11	80
Switzerland	Christof Schwaller	6	5	68	67	47	43	15	16	85
Czech Republic	Jiri Snítil	5	6	58	72	38	43	14	7	81
China	Chen Lu'an	4	7	51	71	35	47	24	4	83
United States	Pete Fenson	3	8	59	67	40	47	14	9	85
South Korea	Lee Dong-keun	2	9	61	85	39	47	13	7	80
