Round	Pick #	Overall	Name	Position	College
1	1	1	Tommy Nobis	Linebacker	Texas
1	16	16	Randy Johnson	Quarterback	Texas A&I
2	1	17	Nick Rassas	Defensive Back	Notre Dame
2	16	32	Jerry Jones	Offensive Tackle	Bowling Green
3	1	33	Mike Dennis	Running Back	Mississippi
3	16	48	Phil Sheridan	Wide Receiver	Notre Dame
4	1	49	Ken Reaves	Safety	Norfolk State
4	16	64	Willie Asbury	Running Back	Kent State
5	1	65	Bill Wolski	Running Back	Notre Dame
5	16	80	Martin Kahn	Offensive Tackle	North Texas State
6	1	81	Charley Casey	Wide Receiver	Florida
7	1	96	William Johnson	Running Back	University of the South
8	1	111	Bill Goss	Linebacker	Tulane
9	1	126	Bob Sanders	Linebacker	North Texas State
10	1	141	Mike Bender	Guard	Arkansas
11	1	156	Steve Sloan	Quarterback	Alabama
12	1	171	Ken Hollister	Offensive Tackle	Indiana
13	1	186	Bob Collins	Offensive Tackle	South Carolina
14	1	201	Steve Ecker	Kicker	Shippensburg
15	1	216	Tom Tolleson	Wide Receiver	Alabama
16	1	231	Jim Vining	Guard	Rice
17	1	246	Lurley Archambeau	Center	Florida
18	1	261	Doug Korver	Center	Northern Iowa
19	1	276	Walt Mainer	Defensive Back	Xavier
20	1	291	Bob Riggle	Defensive Back	Penn State
