Date	Visitor	Score	Home	Decision	Attendance	Record
October 3	Montreal	3 – 2	Carolina	Huet	18,680	1–0–0
October 6	Montreal	3 – 4	Toronto	Huet	19,476	1–0–1
October 10	Montreal	3 – 2	Pittsburgh	Price	17,006	2–0–1
October 13	Carolina	3 – 1	Montreal	Huet	21,273	2–1–1
October 16	Florida	2 – 1	Montreal	Huet	21,273	2–1–2
October 18	Montreal	3 – 4	Ottawa	Price	20,019	2–2–2
October 20	Buffalo	2 – 4	Montreal	Huet	21,273	3–2–2
October 22	Boston	1 – 6	Montreal	Huet	21,273	4–2–2
October 26	Montreal	7 – 4	Carolina	Huet	16,796	5–2–2
October 27	Montreal	4 – 3	Pittsburgh	Price	17,085	6–2–2
October 30	Atlanta	3 – 2	Montreal	Price	21,273	6–2–3
