Week	Date	Opponent	Result	Attendance
1	September 27, 1953	at Green Bay Packers	W 27–0	22,604
2	October 4, 1953	at Chicago Cardinals	W 27–7	24,374
3	October 10, 1953	Philadelphia Eagles	W 37–13	45,802
4	October 18, 1953	at Washington Redskins	W 30–14	33,963
5	October 25, 1953	at New York Giants	W 7–0	30,773
6	November 1, 1953	Washington Redskins	W 27–3	47,845
7	November 8, 1953	Pittsburgh Steelers	W 34–16	35,592
8	November 15, 1953	San Francisco 49ers	W 23–21	80,698
9	November 22, 1953	at Pittsburgh Steelers	W 20–16	32,904
10	November 29, 1953	Chicago Cardinals	W 27–16	24,499
11	December 6, 1953	New York Giants	W 62–14	40,235
12	December 13, 1953	at Philadelphia Eagles	L 42–27	38,654
