Res.	Record	Opponent	Method	Event	Round	Location
Loss	12–4	Ed Herman	TKO (punches)	The Ultimate Fighter 13 Finale	1	Las Vegas, Nevada , United States
Loss	12–3	Nate Quarry	Decision (unanimous)	UFC Fight Night: Diaz vs. Guillard	3	Oklahoma City, Oklahoma , United States
Win	12–2	Nick Catone	Submission (guillotine choke)	UFC Fight Night: Condit vs. Kampmann	2	Nashville, Tennessee , United States
Win	11–2	Nate Loughran	TKO (injury)	UFC: Fight for the Troops	2	Fayetteville, North Carolina , United States
Win	10–2	Cale Yarbrough	KO (punches)	UFC: Silva vs Irvin	1	Las Vegas, Nevada , United States
Win	9–2	Chris Gates	Submission (armbar)	SCF: Punishment at the PMAC	1	Baton Rouge, Louisiana , United States
Win	8–2	Brandon McDowell	Submission (triangle choke)	IXFA: Revolution Fight Night	1	Lafayette, Louisiana , United States
Win	7–2	Josh Lawrence	Submission (armbar)	Universal Gladiator Championships 4	1	Kenner, Louisiana , United States
Loss	6–2	Chael Sonnen	TKO (punches)	Bodog Fight: Costa Rica	1	Costa Rica
Win	6–1	Edward Maxwell	TKO	ISCF: Rampage in the Cage 2	1	Lafayette, Louisiana , United States
Win	5–1	Liam McCarty	Submission (armbar)	ISCF: Rampage in the Cage	1	Lafayette, Louisiana , United States
Win	4–1	Lance Everson	Submission (armbar)	MMA: Eruption	1	Lowell, Massachusetts , United States
Win	3–1	James Pokluda	Submission	Renegades Extreme Fighting	1	Houston, Texas , United States
Win	2–1	Bone Sayavonga	KO	Reality Combat Fighting 17	1	Lafayette, Louisiana , United States
Loss	1–1	Joey Villaseñor	Submission (punches)	KOTC 13: Revolution	2	Reno, Nevada , United States
Win	1–0	Kevin Denz	Submission (armbar)	Rage in the Cage 26	1	Phoenix, Arizona , United States
