World Record	Press	92.5	Hans Wölpert	Mannheim ( GER )
Snatch	92.5	Pierino Gabetti	Milano ( ITA )	1927
Clean & Jerk	120	Andreas Stadler	Vienna ( AUT )	1926
Total	282.5	Heinrich Graf	Tallinn ( EST )	April 1922
Olympic Record	Press	80	Arthur Reinmann	Paris ( FRA )
Olympic Record	Snatch	82.5	Pierino Gabetti	Paris ( FRA )
Olympic Record	Snatch	82.5	Maurice Martin	Paris ( FRA )
Olympic Record	Clean & Jerk	105	Pierino Gabetti	Paris ( FRA )
Olympic Record	Clean & Jerk	105	Andreas Stadler	Paris ( FRA )
Olympic Record	Clean & Jerk	105	Wilhelm Rosinek	Paris ( FRA )
Olympic Record	Clean & Jerk	105	Alfred Baxter	Paris ( FRA )
Olympic Record	Total	260(*)	Pierino Gabetti	Paris ( FRA )
