Pick #	Player	Position	Nationality	NHL team	College/junior/club team
17	Glenn Goldup	Right Wing	Canada	Montreal Canadiens	Toronto Marlboros (OHA)
18	Blake Dunlop	Centre	Canada	Minnesota North Stars	Ottawa 67's (OHA)
19	Paulin Bordeleau	Right Wing	Canada	Vancouver Canucks	Toronto Marlboros (OHA)
20	Larry Goodenough	Defence	Canada	Philadelphia Flyers	London Knights (OHA)
21	Eric Vail	Left Wing	Canada	Atlanta Flames	Sudbury Wolves (OHA)
22	Peter Marrin	Centre	Canada	Montreal Canadiens	Toronto Marlboros (OHA)
23	Wayne Bianchin	Left Wing	Canada	Pittsburgh Penguins	Flin Flon Bombers (WCHL)
24	George Pesut	Defence	Canada	St. Louis Blues	Saskatoon Blades (WCHL)
25	John Rogers	Right Wing	Canada	Minnesota North Stars	Edmonton Oil Kings (WCHL)
26	Brent Leavins	Left Wing	Canada	Philadelphia Flyers	Swift Current Broncos (WCHL)
27	Colin Campbell	Defence	Canada	Pittsburgh Penguins	Peterborough Petes (OHA)
28	Jean Landry	Defence	Canada	Buffalo Sabres	Quebec Remparts (QMJHL)
29	Reg Thomas	Left Wing	Canada	Chicago Black Hawks	London Knights (OHA)
30	Pat Hickey	Left Wing	Canada	New York Rangers	Hamilton Red Wings (OHA)
31	Jimmy Jones	Right Wing	Canada	Boston Bruins	Peterborough Petes (OHA)
32	Ron Andruff	Centre	Canada	Montreal Canadiens	Flin Flon Bombers (WCHL)
