C/W 15+	Oblast\Age	15 to 17	18 to 19	20 to 24	25 to 29	30 to 34	35 to 39	40 to 44	45 to 49	50 to 54	55 to 59	60 to 64	65 to 69
1,736	Belgorod	24	160	599	1,203	1,528	1,821	1,906	1,941	1,903	1,836	1,857	1,971
1,779	Voronezh	20	182	591	1,221	1,558	1,817	1,950	1,925	1,966	1,936	1,994	1,990
1,668	Kaluga	0	67	438	1,050	1,449	1,596	1,777	1,872	1,883	1,851	1,826	1,828
1,525	Moscow	15	75	470	997	1,340	1,541	1,690	1,726	1,655	1,677	1,650	1,687
1,732	Smolensk	0	103	574	1,189	1,466	1,729	1,863	1,953	1,913	2,097	1,889	2,106
1,351	Gorod Moscow	47	130	396	856	1,240	1,474	1,583	1,585	1,562	1,479	1,451	1,493
1,597	Komi	31	126	453	1,021	1,347	1,725	1,807	1,917	1,974	1,947	1,971	2,129
1,764	Arkhangelsk	0	79	420	1,050	1,365	1,704	1,870	2,001	2,003	2,137	2,074	2,270
1,555	Kaliningrad	37	138	357	950	1,343	1,635	1,764	1,736	1,716	1,699	1,741	1,699
1,590	Leningrad	9	74	424	935	1,336	1,633	1,792	1,794	1,750	1,806	1,778	1,801
1,469	Murmansk	7	89	425	965	1,348	1,562	1,705	1,731	1,773	1,724	1,777	1,774
1,669	Novgorod	45	NA	530	1,175	1,472	1,687	1,897	1,721	1,936	1,678	1,723	2,021
1,666	Pskov	0	48	456	1,039	1,439	1,697	1,895	1,944	1,787	1,975	1,839	1,929
1,329	Gorod Sankt Peterburg	13	68	262	755	1,149	1,370	1,521	1,507	1,488	1,432	1,436	1,433
1,917	Adyghea	42	71	442	1,080	1,502	1,799	1,998	2,089	2,054	2,037	2,070	2,091
1,840	Krasnodar	15	98	534	1,184	1,486	1,710	1,955	1,920	1,972	1,991	1,959	2,006
1,849	Stavropol	51	63	508	1,088	1,492	1,818	1,970	2,016	2,032	1,927	2,021	2,063
1,842	Volgograd	0	182	511	1,132	1,518	1,733	1,903	1,990	2,013	1,912	1,961	1,973
1,801	Rostov	11	90	565	1,149	1,543	1,771	1,907	1,917	1,958	1,930	1,897	1,938
1,520	Kirov	21	79	398	942	1,355	1,653	1,838	1,894	1,836	1,810	1,867	1,976
1,997	Orenburg	25	145	540	1,193	1,565	1,858	2,084	2,123	2,073	2,062	2,227	2,371
1,858	Saratov	31	157	565	1,130	1,504	1,709	1,906	1,952	1,938	1,950	1,961	2,073
1,643	Sverdlovsk	42	132	457	1,034	1,419	1,632	1,759	1,866	1,753	1,754	1,759	1,869
1,521	Tyumen	16	93	512	1,044	1,430	1,676	1,810	1,895	1,910	1,927	2,056	2,250
1,509	Yugra	22	95	517	1,030	1,413	1,670	1,801	1,887	1,908	1,912	2,020	2,256
1,475	Yamal	10	115	532	1,068	1,427	1,682	1,785	1,879	1,891	1,911	1,943	2,030
1,791	Chelyabinsk	14	64	502	1,068	1,451	1,741	1,896	1,878	1,849	1,875	1,962	2,012
2,107	Altay	19	144	603	1,174	1,556	1,798	2,068	2,153	2,154	2,118	2,243	2,386
1,671	Krasnoyarsk	6	70	461	1,016	1,388	1,654	1,827	1,916	1,898	1,900	1,884	2,075
1,714	Evenkia	0	0	556	1,167	1,313	2,031	1,880	2,000	1,905	1,900	2,333	2,500
1,972	Irkutsk	14	60	431	1,152	1,601	1,803	1,955	2,117	2,150	1,999	2,129	2,306
1,860	Kemerovo	24	32	522	1,069	1,381	1,739	1,855	2,023	1,947	1,835	1,892	2,065
1,825	Novosibirsk	48	190	515	1,000	1,332	1,693	1,889	1,913	1,917	1,800	1,943	2,096
2,065	Omsk	8	131	524	1,154	1,475	1,797	2,073	2,169	2,182	2,291	2,337	2,559
1,612	Yakutstan	84	88	563	1,207	1,481	1,771	1,877	1,963	1,903	1,832	1,936	2,039
2,074	Primorye	34	108	547	1,179	1,520	1,859	2,001	2,153	2,197	2,143	2,129	2,329
1,900	Khabarovsk	59	68	483	998	1,494	1,700	1,944	2,008	2,103	2,033	1,933	2,286
2,155	Amur	39	107	669	1,297	1,633	1,915	2,144	2,240	2,233	2,631	2,655	2,649
