State	Population	GDP per cap. (PPP)	Currency	Gini	Council votes	EP seats
Austria	8443000	42,409	euro	29.1	10	19
Belgium	11041300	37,883	euro	33.0	12	22
Bulgaria	7327200	14,312	lev	29.2	10	18
Croatia	4398000	17,810	kuna	29	7	12
Cyprus	862000	27,086	euro	31.2	4	6
Czech Republic	10505400	27,191	koruna	25.8	12	22
Denmark	5580500	37,657	krone	24.7	7	13
Estonia	1339700	21,713	euro	36.0	4	6
Finland	5401300	36,395	euro	26.9	7	13
France	65397900	35,548	euro	32.7	29	74
Germany	81843700	39,028	euro	28.3	29	99
Greece	11290900	24,505	euro	34.3	12	22
Hungary	9957700	19,638	forint	30.0	12	22
Ireland	4582800	41,921	euro	34.3	7	12
Italy	60820800	30,136	euro	36.0	29	73
Latvia	2041800	18,255	lats	35.7	4	9
Lithuania	3007800	21,615	litas	35.8	7	12
Luxembourg	524900	79,785	euro	30.8	4	6
Malta	416100	27,022	euro	25.8	3	6
Netherlands	16730300	42,194	euro	30.9	13	26
Poland	38538400	20,592	złoty	34.9	27	51
Portugal	10541800	23,385	euro	38.5	12	22
Romania	20121641	12,808	leu	31.5	14	33
Slovakia	5404300	24,249	euro	25.8	7	13
Slovenia	2055500	28,195	euro	31.2	4	8
Spain	46196300	30,557	euro	32.0	27	54
Sweden	9482900	41,191	krona	25.0	10	20
United Kingdom	62989600	36,941	pound sterling	36.0	29	73
Total / Average	508,077,900	33,800	euro	30.7	352	766
