No.1	No.2	No.3	No.5	No.6	FINAL
Claudio Claudisabel	Marisa Elsa	Gisela Valentino	Ruth Marisa	Valentino Claudio	Winner (Day 58)
Claudio Claudisabel	Claudio Elsa	Gisela Gustavo	Vítor Gisela	Vítor Claudio	Runner-Up (Day 58)
Elsa Rita	Lena Elsa	Gisela Sylvie	Melão Gisela	Ruth Vítor	Third place (Day 58)
Elsa Claudisabel	Sylvie Ruth	Sylvie Axel	Melão Gisela	Ruth Vítor	Evicted (Day 50)
Sylvie Rita	Sylvie Rita	Elsa Sylvie	Vítor Gisela	Marisa Vítor	Evicted (Day 50)
Not in house	Not in house	Elsa Sylvie	Claudio Ruth	Evicted (Day 43)	Evicted (Day 43)
Lena Claudisabel	Lena Sylvie	Ruth Sylvie	Marisa Claudio	Evicted (Day 43)	Evicted (Day 43)
Lena Claudio	Lena Claudio	Claudio Elsa	Evicted (Day 36)	Evicted (Day 36)	Evicted (Day 36)
Lena Claudisabel	Lena Elsa	Gisela Elsa	Evicted (Day 36)	Evicted (Day 36)	Evicted (Day 36)
Claudio Axel	Melão Valentino	Vítor Melão	Evicted (Day 29)	Evicted (Day 29)	Evicted (Day 29)
Elsa Claudisabel	Lena Melão	Gisela Gustavo	Evicted (Day 29)	Evicted (Day 29)	Evicted (Day 29)
Elsa Claudisabel	Elsa Lena	Walked (Day 19)	Walked (Day 19)	Walked (Day 19)	Walked (Day 19)
Rita Melão	Rita Melão	Evicted (Day 15)	Evicted (Day 15)	Evicted (Day 15)	Evicted (Day 15)
Claudio Sylvie	Evicted (Day 8)	Evicted (Day 8)	Evicted (Day 8)	Evicted (Day 8)	Evicted (Day 8)
none	none	none	none	none	none
Claudisabel Claudio	Elsa Lena	Elsa Gisela Gustavo Sylvie	Claudio Gisela Marisa Melão Ruth Vítor	Claudio Marisa Ruth Valentino Vítor	All housemates
Claudisabel	Lena	Elsa Sylvie	Gisela Melão	Claudio Valentino	Marisa
Claudisabel	Lena	Elsa Sylvie	Gisela Melão	Claudio Valentino	Ruth
Claudisabel	Lena	Elsa Sylvie	Gisela Melão	Claudio Valentino	Vítor
