Date	Time ( GMT )	Serial	Apogee	Outcome
1958-07-19	17:36	3B	kilometres (mi)	Failure.[ citation needed ]
1958-08-02	22:16	4B	kilometres (mi)	Success
1958-08-29	04:30	5B	kilometres (mi)	Success
1958-09-14	05:24	8B	kilometres (mi)	Success
1958-09-18	21:27	6B	kilometres (mi)	Failure.
1958-11-18	04:00	9B	kilometres (mi)	Partial failure.
1958-11-29	02:27	12B	kilometres (mi)	Success
1958-12-18	22:02	10B	N/A	Success
1959-01-16	04:00	13B	kilometres (mi)	Failure.
1959-02-04	08:01	11B	kilometres (mi)	Success[ citation needed ]
