Tie no	Home team	Score	Away team	Date
1	Chesterfield	1–1	Walsall	11 December 1976
Replay	Walsall	0–0	Chesterfield	14 December 1976
Replay	Chesterfield	0–1	Walsall	21 December 1976
2	Darlington	1–0	Sheffield Wednesday	15 December 1976
3	Bury	0–0	Shrewsbury Town	14 December 1976
Replay	Shrewsbury Town	2–1	Bury	21 December 1976
4	Grimsby Town	0–1	Chester	11 December 1976
5	Northwich Victoria	4–0	Peterborough United	14 December 1976
6	Lincoln City	6–0	Nuneaton Borough	11 December 1976
7	Wrexham	1–1	Goole Town	11 December 1976
Replay	Goole Town	0–1	Wrexham	14 December 1976
8	Wycombe Wanderers	1–2	Reading	11 December 1976
9	Portsmouth	2–1	Minehead	11 December 1976
10	Crystal Palace	4–0	Enfield	11 December 1976
11	Hitchin Town	1–1	Swindon Town	11 December 1976
Replay	Swindon Town	3–1	Hitchin Town	21 December 1976
12	Southend United	3–0	Newport County	11 December 1976
13	Mansfield Town	2–5	Matlock Town	15 December 1976
14	Port Vale	3–0	Barnsley	11 December 1976
15	Halifax Town	1–0	Preston North End	14 December 1976
16	Kettering Town	1–0	Tooting & Mitcham United	11 December 1976
17	Rotherham United	0–0	York City	11 December 1976
Replay	York City	1–1	Rotherham United	14 December 1976
Replay	Rotherham United	2–1	York City	21 December 1976
18	Colchester United	3–2	Brentford	20 December 1976
19	Leatherhead	1–3	Wimbledon	14 December 1976
20	Hillingdon Borough	2–3	Watford	11 December 1976
