Episode Number	Air Date	Guest Host	Musical Guest (Song performed)	Who knows the most about the guest host? panelists
1	16 June 2006	Jerry Springer	Orson ( Bright Idea )	Zöe Lucker and Sam Brodie
2	23 June 2006	Patsy Kensit	Placebo ( Infra-Red )	Jeremy Edwards and Grace Adams-Short
3	30 June 2006	Rob Lowe	The Zutons ( Valerie )	Jennifer Ellison and Kirsty Gallacher
4	7 July 2006	Mischa Barton	Dirty Pretty Things ( Deadwood )	Camille Coduri and Harry Judd
5	14 July 2006	Ian Wright	Feeder ( Just A Day )	Sally Lindsay and Lea Walker
6	21 July 2006	Jade Goody	Razorlight ( In The Morning )	Dominic Wood and Nikki Grahame
7	28 July 2006	Justin Hawkins	Kasabian ( Empire )	Holly Willoughby and Jayne Kitt
8	4 August 2006	Rupert Everett	Primal Scream ( Dolls (Sweet Rock and Roll) )	Jennie McAlpine and Sarah Beeny
9	11 August 2006	Carol Vorderman	The Automatic ( Recover )	Gary Lucy and Susie Verrico
10	18 August 2006	Ross Kemp	The Feeling ( Never Be Lonely )	Matt Willis and Chantelle Houghton
