Rider	Manufacturer	Laps	Time/Retired	Grid
Hiroshi Aoyama	KTM	29	41:16.191	6
Mika Kallio	KTM	29	+0.119	1
Alex de Angelis	Aprilia	29	+0.274	3
Jorge Lorenzo	Aprilia	29	+0.579	4
Andrea Dovizioso	Honda	29	+1.296	2
Héctor Barberá	Aprilia	29	+11.851	7
Marco Simoncelli	Gilera	29	+17.248	8
Yuki Takahashi	Honda	29	+22.309	10
Thomas Luthi	Aprilia	29	+28.858	12
Roberto Locatelli	Gilera	29	+35.983	14
Aleix Espargaró	Aprilia	29	+37.377	11
Shuhei Aoyama	Honda	29	+42.211	17
Dirk Heidolf	Aprilia	29	+51.095	13
Alex Baldolini	Aprilia	29	+53.416	15
Jules Cluzel	Honda	29	+55.996	21
Taro Sekiguchi	Aprilia	29	+56.105	18
Álvaro Bautista	Aprilia	29	+1:07.435	9
Fabrizio Lai	Aprilia	29	+1:09.728	16
Ratthapark Wilairot	Honda	29	+1:17.640	22
Thomas Walther	Honda	19	Accident	28
Karel Abraham	Aprilia	19	Retirement	20
Eugene Laverty	Honda	18	Accident	26
Julián Simón	Honda	14	Accident	5
Imre Toth	Aprilia	13	Retirement	24
Dan Linfoot	Aprilia	4	Accident	25
Álvaro Molina	Aprilia	4	Retirement	23
Joshua Sommer	Honda	3	Retirement	27
Efren Vazquez	Aprilia	2	Accident	19
