Submitting country	Film title used in nomination	Original title	Language(s)	Director(s)	Result
Afghanistan	Opium War	Opium War	Dari , English	Siddiq Barmak Category:Articles with hCards	Not Nominated
Albania	The Sorrow of Mrs. Schneider	Trishtimi i zonjës Shnajder	Albanian , Czech	Eno Milkani and Piro Milkani	Not Nominated
Algeria	Masquerades	Mascarades	Algerian Arabic , French	Lyes Salem Category:Articles with hCards	Not Nominated
Argentina	Lion's Den	Leonera	Spanish	Pablo Trapero Category:Articles with hCards	Not Nominated
Austria	Revanche	Revanche	German	Götz Spielmann Category:Articles with hCards	Nominee
Azerbaijan	Fortress	Qala	Azeri	Shamil Nacafzade Category:Articles with hCards	Not Nominated
Bangladesh	Aha!	আহা!	Bengali	Enamul Karim Nirjhar Category:Articles with hCards	Not Nominated
Belgium	Eldorado	Eldorado	French	Bouli Lanners Category:Articles with hCards	Not Nominated
Bosnia and Herzegovina	Snow	Snijeg	Bosnian	Aida Begić Category:Articles with hCards	Not Nominated
Brazil	Last Stop 174	Última Parada 174	Portuguese	Bruno Barreto Category:Articles with hCards	Not Nominated
Bulgaria	Zift	Дзифт	Bulgarian	Javor Gardev Category:Articles with hCards	Not Nominated
Canada	The Necessities of Life	Ce qu'il faut pour vivre Inuujjutiksaq	French , Inuktitut	Benoît Pilon Category:Articles with hCards	Made January Shortlist
Chile	Tony Manero	Tony Manero	Spanish	Pablo Larraín Category:Articles with hCards	Not Nominated
China	Dream Weavers	筑梦	Mandarin	Yu Gun Category:Articles with hCards	Not Nominated
Colombia	Dog Eat Dog	Perro come Perro	Spanish	Carlos Moreno Category:Articles with hCards	Not Nominated
Croatia	No One's Son	Ničiji Sin	Croatian	Arsen Anton Ostojić Category:Articles with hCards	Not Nominated
Czech Republic	The Karamazovs	Karamazovi	Czech , Polish	Petr Zelenka Category:Articles with hCards	Not Nominated
Denmark	Worlds Apart	To verdener	Danish	Niels Arden Oplev Category:Articles with hCards	Not Nominated
Egypt	The Island	الجزيرة	Egyptian Arabic	Sherif Arafa Category:Articles with hCards	Not Nominated
Estonia	I Was Here	Mina olin siin. Esimene arest	Estonian	René Vilbre	Not Nominated
Finland	The Home of Dark Butterflies	Tummien perhosten koti	Finnish	Dome Karukoski Category:Articles with hCards	Not Nominated
France	The Class	Entre les murs	French	Laurent Cantet Category:Articles with hCards	Nominee
Georgia	Mediator	Mediator	German , Russian , English	Dito Tsintsadze Category:Articles with hCards	Not Nominated
Germany	The Baader Meinhof Complex	Der Baader Meinhof Komplex	German	Uli Edel Category:Articles with hCards	Nominee
Greece	Correction	Διόρθωση	Greek	Thanos Anastopoulos Category:Articles with hCards	Not Nominated
Hong Kong	Painted Skin	畫皮	Mandarin	Gordon Chan Category:Articles with hCards	Not Nominated
Hungary	Iska's Journey	Iszka utazása	Hungarian	Csaba Bollók Category:Articles with hCards	Not Nominated
Iceland	White Night Wedding	Brúðguminn	Icelandic	Baltasar Kormákur Category:Articles with hCards	Not Nominated
